bank_row_id,utr,posted_at,credit_amount_paise,currency,narration,bank_ref
bank_A5f90GkoCXH0Tw,HDFCN80686564677,2026-06-25T14:30:00,2160405,INR,NEFT CR: ICICI HDFCN80686564677 RAZORPAY SETTLEMENT,S6865669235
bank_tiy3SdMbFvcqXt,UTIBN52467209557,2026-06-13T14:30:00,15962756,INR,NEFT CR: KOTAK UTIBN52467209557 RAZORPAY SETTLEMENT,S8050153216
bank_4PJDMHgfd31U2a,HDFCN46215738234,2026-06-06T14:30:00,60000612,INR,NEFT CR: KOTAK HDFCN46215738234 RAZORPAY SETTLEMENT,S0195143255
bank_4uW5P6X0rKnXqN,KKBKN89906167660,2026-06-08T14:30:00,5385266,INR,NEFT CR: AXIS KKBKN89906167660 RAZORPAY SETTLEMENT,S9915309632
bank_vRLnaeQr7U9GDg,ICICN47259387182,2026-06-26T14:30:00,8254656,INR,NEFT CR: YESBANK ICICN47259387182 RAZORPAY SETTLEMENT,S0895612771
bank_DFrpXBQ2YMz2qq,YESBN19847192175,2026-07-11T14:30:00,5845121,INR,NEFT CR: ICICI YESBN19847192175 RAZORPAY SETTLEMENT,S3027229342
bank_8tK9QJp5jy8HOF,HDFCN53119957163,2026-06-02T14:30:00,243430,INR,NEFT CR: KOTAK HDFCN53119957163 RAZORPAY SETTLEMENT,S5334927941
bank_qG43NooZoY71mv,ICICN15538380109,2026-07-02T14:30:00,522853,INR,NEFT CR: YESBANK ICICN15538380109 RAZORPAY SETTLEMENT,S1996979166
bank_buOHfzbapM3t62,HDFCN28651407229,2026-07-13T14:30:00,100000,INR,NEFT CR: YESBANK HDFCN28651407229 RAZORPAY SETTLEMENT,S2956398328
bank_VARtGVT1spPCTD,HDFCN61557123147,2026-06-09T14:30:00,12577050,INR,NEFT CR: HDFC HDFCN61557123147 RAZORPAY SETTLEMENT,S9296031350
bank_inZ4XDuW8wcB6f,HDFCN70841283238,2026-07-13T14:30:00,97640,INR,NEFT CR: KOTAK HDFCN70841283238 RAZORPAY SETTLEMENT,S1414033533
bank_WUKE3Cx9EkbFbx,HDFCN98103405021,2026-07-03T14:30:00,22964512,INR,NEFT CR: YESBANK HDFCN98103405021 RAZORPAY SETTLEMENT,S6102015135
bank_5HmsVfX6AJqWmB,KKBKN27362749169,2026-06-12T14:30:00,5562124,INR,NEFT CR: KOTAK KKBKN27362749169 RAZORPAY SETTLEMENT,S7325857291
bank_hVlFactU8E5ssC,HDFCN48092440722,2026-06-06T14:30:00,40000404,INR,NEFT CR: KOTAK HDFCN48092440722 RAZORPAY SETTLEMENT,S3163395144
bank_hdCJ7jNVHpQtCj,ICICN81210799489,2026-07-07T14:30:00,1170365,INR,NEFT CR: AXIS ICICN81210799489 RAZORPAY SETTLEMENT,S7152234365
bank_8LRT4AleCM413O,YESBN73259920214,2026-06-02T14:30:00,20226540,INR,NEFT CR: YESBANK YESBN73259920214 RAZORPAY SETTLEMENT,S3901338398
bank_esjV9dzXXBYqP9,HDFCN43482980464,2026-06-05T14:30:00,285200,INR,NEFT CR: HDFC HDFCN43482980464 RAZORPAY SETTLEMENT,S3024425139
bank_xeEkEXD2Gm7FOa,ICICN07559185827,2026-07-15T14:30:00,188593,INR,NEFT CR: ICICI ICICN07559185827 RAZORPAY SETTLEMENT,S0704657213
bank_7raeaYI5QLqJKy,KKBKN41275355749,2026-06-17T14:30:00,5381103,INR,NEFT CR: HDFC KKBKN41275355749 RAZORPAY SETTLEMENT,S4993378259
bank_3vXfu4VndmqTBA,YESBN44662161931,2026-06-08T14:30:00,4374323,INR,NEFT CR: ICICI YESBN44662161931 RAZORPAY SETTLEMENT,S2658696538
bank_rH0eFpmpZhjTPG,YESBN90687286984,2026-06-08T14:30:00,117070,INR,NEFT CR: HDFC YESBN90687286984 RAZORPAY SETTLEMENT,S0713077944
bank_NHq3p3MIgUPPC1,YESBN54178251435,2026-07-15T14:30:00,668549,INR,NEFT CR: YESBANK YESBN54178251435 RAZORPAY SETTLEMENT,S2392559316
bank_1hTzX7Qiho1o9d,HDFCN59699567366,2026-07-08T14:30:00,20668510,INR,NEFT CR: AXIS HDFCN59699567366 RAZORPAY SETTLEMENT,S1319268820
bank_70KP3BQRI00D9M,ICICN69756502702,2026-06-17T14:30:00,7170201,INR,NEFT CR: ICICI ICICN69756502702 RAZORPAY SETTLEMENT,S1175349683
bank_RS4DxytwK8PYwf,KKBKN40052458097,2026-07-08T14:30:00,5180566,INR,NEFT CR: KOTAK KKBKN40052458097 RAZORPAY SETTLEMENT,S3853877601
bank_P7YGOwCaFHt1In,HDFCN38972150724,2026-06-25T14:30:00,100000,INR,NEFT CR: ICICI HDFCN38972150724 RAZORPAY SETTLEMENT,S1779486303
bank_JzdzLiO4pOczp0,UTIBN73051987959,2026-06-09T14:30:00,20293028,INR,NEFT CR: YESBANK UTIBN73051987959 RAZORPAY SETTLEMENT,S0686872298
bank_poCfl7eRIMK8Ms,ICICN07693325709,2026-06-05T14:30:00,1027292,INR,NEFT CR: AXIS ICICN07693325709 RAZORPAY SETTLEMENT,S7153268333
bank_VyTLXSPyRUmyzM,YESBN22494941480,2026-06-10T14:30:00,50000535,INR,NEFT CR: YESBANK YESBN22494941480 RAZORPAY SETTLEMENT,S0688250831
bank_kJPDQfUBv7ChNY,HDFCN68029394615,2026-06-20T14:30:00,347725,INR,NEFT CR: YESBANK HDFCN68029394615 RAZORPAY SETTLEMENT,S4958928598
bank_Dvi5rmnwoq4lTQ,KKBKN68088568099,2026-07-14T14:30:00,105282,INR,NEFT CR: ICICI KKBKN68088568099 RAZORPAY SETTLEMENT,S7708796301
bank_dYJzEhB3mnVxnO,UTIBN72668204909,2026-07-03T14:30:00,5398326,INR,NEFT CR: HDFC UTIBN72668204909 RAZORPAY SETTLEMENT,S6054391403
bank_AW2LisdL5p8j7f,YESBN57418895463,2026-07-15T14:30:00,2877284,INR,NEFT CR: HDFC YESBN57418895463 RAZORPAY SETTLEMENT,S7977895644
bank_PA6bAcBq81mFRy,HDFCN51157837104,2026-07-08T14:30:00,2056029,INR,NEFT CR: AXIS HDFCN51157837104 RAZORPAY SETTLEMENT,S2556627902
bank_c4QnHsQrCSa7iE,ICICN43922890915,2026-06-02T14:30:00,2412952,INR,NEFT CR: HDFC ICICN43922890915 RAZORPAY SETTLEMENT,S2136765723
bank_MZExAPpLSHTYvA,KKBKN37310972958,2026-07-14T14:30:00,2858275,INR,NEFT CR: HDFC KKBKN37310972958 RAZORPAY SETTLEMENT,S6567297658
bank_1L2yAQZv3teAVJ,UTIBN10000673085,2026-07-04T14:30:00,946377,INR,NEFT CR: ICICI UTIBN10000673085 RAZORPAY SETTLEMENT,S4186195115
bank_n36Gyp5XiFelw0,KKBKN18853065758,2026-07-13T14:30:00,100000,INR,NEFT CR: ICICI KKBKN18853065758 RAZORPAY SETTLEMENT,S2981719643
bank_K2R2f3L8CS9K6e,KKBKN96608495098,2026-06-19T14:30:00,1154472,INR,NEFT CR: AXIS KKBKN96608495098 RAZORPAY SETTLEMENT,S4638107754
bank_nHEYAzxR6QPz6s,KKBKN86889500790,2026-06-18T14:30:00,15854467,INR,NEFT CR: ICICI KKBKN86889500790 RAZORPAY SETTLEMENT,S0737773704
bank_szSTNNMhwq3bj2,ICICN87122291772,2026-06-15T14:30:00,674498,INR,NEFT CR: ICICI ICICN87122291772 RAZORPAY SETTLEMENT,S9694389021
bank_3FvUGxxQlAqKuN,YESBN27490714442,2026-07-14T14:30:00,97640,INR,NEFT CR: AXIS YESBN27490714442 RAZORPAY SETTLEMENT,S0525115516
bank_wR3cvWp9YUdQ5Z,UTIBN21213946606,2026-07-08T14:30:00,643666,INR,NEFT CR: KOTAK UTIBN21213946606 RAZORPAY SETTLEMENT,S9118852784
bank_zy5XwBx5gn8bs6,ICICN47996364408,2026-07-08T14:30:00,40000420,INR,NEFT CR: AXIS ICICN47996364408 RAZORPAY SETTLEMENT,S0856089873
bank_DdoYKOHVB1EdBj,ICICN42694868152,2026-06-29T14:30:00,2756106,INR,NEFT CR: KOTAK ICICN42694868152 RAZORPAY SETTLEMENT,S9039739586
bank_McY4H0qS7ZlHyj,KKBKN57296118048,2026-06-10T14:30:00,100000,INR,NEFT CR: HDFC KKBKN57296118048 RAZORPAY SETTLEMENT,S9850988242
bank_6KBgbayVPK8GbC,ICICN67727603778,2026-06-05T14:30:00,2926000,INR,NEFT CR: HDFC ICICN67727603778 RAZORPAY SETTLEMENT,S1167376521
bank_dhbe5XrbNPsPxV,YESBN06942498442,2026-06-05T14:30:00,1442321,INR,NEFT CR: AXIS YESBN06942498442 RAZORPAY SETTLEMENT,S7144579660
bank_2dpFtkjMQllmqW,ICICN63931741816,2026-06-22T14:30:00,5092804,INR,NEFT CR: YESBANK ICICN63931741816 RAZORPAY SETTLEMENT,S0142065319
bank_QjVz1qvLXfSKeL,HDFCN15806815349,2026-06-27T14:30:00,44473647,INR,NEFT CR: KOTAK HDFCN15806815349 RAZORPAY SETTLEMENT,S1367159712
bank_V9HrNMAlX9g1PY,HDFCN45640569351,2026-06-19T14:30:00,50000500,INR,NEFT CR: KOTAK HDFCN45640569351 RAZORPAY SETTLEMENT,S0255296708
bank_oRXFy4NPgugB5S,UTIBN78794161377,2026-07-14T14:30:00,1179369,INR,NEFT CR: ICICI UTIBN78794161377 RAZORPAY SETTLEMENT,S5806018935
bank_kCjUDkKRwDVxQg,UTIBN47537137441,2026-07-15T14:30:00,2821684,INR,NEFT CR: KOTAK UTIBN47537137441 RAZORPAY SETTLEMENT,S1968811339
bank_o22ylpT3in8BhH,YESBN43232563780,2026-06-24T14:30:00,3084075,INR,NEFT CR: AXIS YESBN43232563780 RAZORPAY SETTLEMENT,S5197976359
bank_xSZlTYjvR2ExpF,ICICN22142759526,2026-06-25T14:30:00,368296,INR,NEFT CR: AXIS ICICN22142759526 RAZORPAY SETTLEMENT,S7057249878
bank_AE2Nh924WbzUDw,KKBKN35232635659,2026-07-06T14:30:00,1690957,INR,NEFT CR: YESBANK KKBKN35232635659 RAZORPAY SETTLEMENT,S6912787553
bank_yXpmMeznlgPPrw,HDFCN04608445232,2026-06-06T14:30:00,20000204,INR,NEFT CR: AXIS HDFCN04608445232 RAZORPAY SETTLEMENT,S3686949443
bank_UYzQvNyxUp6EZR,KKBKN31704779496,2026-06-23T14:30:00,74483,INR,NEFT CR: ICICI KKBKN31704779496 RAZORPAY SETTLEMENT,S1599375073
bank_JfGkBeHQoFkv2P,KKBKN69999365679,2026-06-10T14:30:00,844016,INR,NEFT CR: KOTAK KKBKN69999365679 RAZORPAY SETTLEMENT,S5613523349
bank_pj0l1uXAW6KeP5,UTIBN67853811303,2026-06-29T14:30:00,27240045,INR,NEFT CR: KOTAK UTIBN67853811303 RAZORPAY SETTLEMENT,S5128365420
bank_r5ZZXBxzDitAPp,YESBN30331497343,2026-07-15T14:30:00,399130,INR,NEFT CR: YESBANK YESBN30331497343 RAZORPAY SETTLEMENT,S6100015141
bank_EbxV8mCxoSqhzt,ICICN69844576078,2026-07-16T14:30:00,17666852,INR,NEFT CR: KOTAK ICICN69844576078 RAZORPAY SETTLEMENT,S3881030411
bank_r8u65CLGqV4MPl,UTIBN52865058408,2026-06-30T14:30:00,1283091,INR,NEFT CR: HDFC UTIBN52865058408 RAZORPAY SETTLEMENT,S1985798000
bank_pQ7qNmPlgfd0KG,ICICN58155267666,2026-07-08T14:30:00,1108294,INR,NEFT CR: KOTAK ICICN58155267666 RAZORPAY SETTLEMENT,S2657421110
bank_Ab1GB0MxPtMfyf,HDFCN16018251461,2026-06-06T14:30:00,20000202,INR,NEFT CR: KOTAK HDFCN16018251461 RAZORPAY SETTLEMENT,S9917238582
bank_iozMwSY02MRPX3,YESBN03910022165,2026-06-18T14:30:00,11802013,INR,NEFT CR: YESBANK YESBN03910022165 RAZORPAY SETTLEMENT,S4613770771
bank_jo0gvn2WOMrxJk,ICICN30556997319,2026-06-29T14:30:00,1093933,INR,NEFT CR: YESBANK ICICN30556997319 RAZORPAY SETTLEMENT,S7701817744
bank_quhz6OEXnpMyIK,HDFCN94601055153,2026-06-08T14:30:00,574999,INR,NEFT CR: YESBANK HDFCN94601055153 RAZORPAY SETTLEMENT,S4500681612
bank_PQH4R64u1scdSm,ICICN46375559459,2026-07-16T14:30:00,1936813,INR,NEFT CR: ICICI ICICN46375559459 RAZORPAY SETTLEMENT,S4876183115
bank_pvbmUycebmin7N,HDFCN96203588541,2026-06-18T14:30:00,462242,INR,NEFT CR: AXIS HDFCN96203588541 RAZORPAY SETTLEMENT,S2469135528
bank_NX3iNMlP8RAhWx,UTIBN93275424114,2026-07-08T14:30:00,37697436,INR,NEFT CR: KOTAK UTIBN93275424114 RAZORPAY SETTLEMENT,S9565386175
bank_SVtFAPWkw5ODin,ICICN45434649319,2026-07-13T14:30:00,3475507,INR,NEFT CR: HDFC ICICN45434649319 RAZORPAY SETTLEMENT,S5352138790
bank_wJ0FFtzttAcizG,HDFCN65874576690,2026-06-30T14:30:00,12795851,INR,NEFT CR: HDFC HDFCN65874576690 RAZORPAY SETTLEMENT,S7748721115
bank_7alwzLH4ZxYyse,YESBN89878502520,2026-06-09T14:30:00,3016338,INR,NEFT CR: HDFC YESBN89878502520 RAZORPAY SETTLEMENT,S1541257811
bank_xBSqOG0lDRW9ZP,KKBKN80981983281,2026-07-06T14:30:00,1128158,INR,NEFT CR: HDFC KKBKN80981983281 RAZORPAY SETTLEMENT,S4885932825
bank_lv440WvcC5wQbN,ICICN15744371360,2026-06-16T14:30:00,3582815,INR,NEFT CR: ICICI ICICN15744371360 RAZORPAY SETTLEMENT,S2557300393
bank_8URlJeuwC88csc,YESBN68372621631,2026-06-27T14:30:00,1959140,INR,NEFT CR: KOTAK YESBN68372621631 RAZORPAY SETTLEMENT,S3861055554
bank_cmfgBxjChglnlI,YESBN83680523457,2026-07-08T14:30:00,1414898,INR,NEFT CR: HDFC YESBN83680523457 RAZORPAY SETTLEMENT,S5950907158
bank_gcOFAiAnzK7EPw,ICICN01392089460,2026-06-19T14:30:00,20000200,INR,NEFT CR: HDFC ICICN01392089460 RAZORPAY SETTLEMENT,S1900380233
bank_sqsEbnumMLFrKZ,UTIBN21822968857,2026-06-04T14:30:00,4469652,INR,NEFT CR: ICICI UTIBN21822968857 RAZORPAY SETTLEMENT,S5389382877
bank_lyxvIBQ2xS5smH,YESBN06797434402,2026-06-27T14:30:00,1872631,INR,NEFT CR: HDFC YESBN06797434402 RAZORPAY SETTLEMENT,S6611134272
