settlement_id,utr,settlement_date,gross_payment_paise,refund_paise,fee_paise,tax_paise,net_amount_paise,line_count,currency,status
setl_LQlzoTHgc1ceCk,ICICN42694868152,2026-06-29,2804600,0,41096,7398,2756106,5,INR,PROCESSED
setl_K5f5QrXaf6KNFw,HDFCN53119957163,2026-06-02,248500,0,4297,773,243430,3,INR,PROCESSED
setl_Ea3IvahN8nCtGl,HDFCN04608445232,2026-06-06,30000306,10000102,0,0,20000204,2,INR,PROCESSED
setl_8rU0LrWMxQttSu,KKBKN27362749169,2026-06-12,5601889,25000,12512,2253,5562124,6,INR,PROCESSED
setl_LaFJIUX50UDjqs,ICICN87122291772,2026-06-15,683313,0,7470,1345,674498,3,INR,PROCESSED
setl_KQeTrAGYO0tFX2,HDFCN43482980464,2026-06-05,285200,0,0,0,285200,1,INR,PROCESSED
setl_T0WyYAfTOD4DoV,YESBN73259920214,2026-06-02,20712527,0,411853,74134,20226540,4,INR,PROCESSED
setl_f1VojUeZdAFGgW,HDFCN15806815349,2026-06-27,45419050,0,801188,144215,44473647,7,INR,PROCESSED
setl_kn0jja0k9xiIlq,HDFCN29896782995,2026-06-04,459500,0,8890,1601,449009,3,INR,PROCESSED
setl_KN5FsLAVi69ja9,HDFCN28651407229,2026-07-13,100000,0,0,0,100000,1,INR,PROCESSED
setl_9xjWC0LZg81L1P,KKBKN89906167660,2026-06-08,5484300,0,83927,15107,5385266,3,INR,PROCESSED
setl_bxJaCLlZiS4NB6,ICICN58155267666,2026-07-08,1137900,0,25089,4517,1108294,4,INR,PROCESSED
setl_uJnEKD9YbfALra,UTIBN71968999353,2026-06-03,22485600,0,449512,80912,21955176,3,INR,PROCESSED
setl_EoLin5D3S93kqa,UTIBN35601005841,2026-06-09,50000515,10000103,0,0,40000412,2,INR,PROCESSED
setl_Fk3ptfHycN2Nva,UTIBN78794161377,2026-07-14,1194101,0,12485,2247,1179369,4,INR,PROCESSED
setl_AVt3uJgRapKbJS,ICICN07693325709,2026-06-05,1042898,2501,11106,1999,1027292,5,INR,PROCESSED
setl_Ocv4HNvAwpziH0,ICICN30556997319,2026-06-29,1115421,0,18210,3278,1093933,3,INR,PROCESSED
setl_PP3JEILV1n2RYc,HDFCN18013266810,2026-06-22,199900,0,3498,630,195772,1,INR,PROCESSED
setl_nQ18oUWuMunVTk,ICICN01392089460,2026-06-19,30000300,10000100,0,0,20000200,2,INR,PROCESSED
setl_gAZ1aduoTphF5F,KKBKN50171408335,2026-07-16,699800,25000,3998,720,670082,3,INR,PROCESSED
setl_FFPxXN3jnGVe7X,YESBN64298518371,2026-06-30,3766431,0,1065,191,3765175,6,INR,PROCESSED
setl_8RrZA5nl6xOyjn,YESBN54178251435,2026-07-15,681171,0,10696,1926,668549,5,INR,PROCESSED
setl_UJbsTn27W9nvCc,HDFCN98103405021,2026-07-03,32964618,10000106,0,0,22964512,3,INR,PROCESSED
setl_NETKXUBOFUokTZ,HDFCN46215738234,2026-06-06,60000612,0,0,0,60000612,1,INR,PROCESSED
setl_bVTFiH4smcNPR9,YESBN14751324612,2026-07-06,30020212,10000104,398,72,20019638,3,INR,PROCESSED
setl_OzZFmIiehMksTg,YESBN90687286984,2026-06-08,119900,0,2398,432,117070,1,INR,PROCESSED
setl_aPOhsI6eEonFlh,YESBN43232563780,2026-06-24,3150063,0,55921,10067,3084075,4,INR,PROCESSED
setl_8UewvwaVjjic9D,ICICN47279520616,2026-07-07,7871784,0,5596,1007,7865181,5,INR,PROCESSED
setl_JkR9mxuj83ZsyG,KKBKN69999365679,2026-06-10,873300,25000,3631,653,844016,6,INR,PROCESSED
setl_DWwcM1PnA5Knvu,UTIBN21822968857,2026-06-04,4582916,0,95986,17278,4469652,7,INR,PROCESSED
setl_FfhGPBY12wjlGC,UTIBN44883009501,2026-06-26,6167600,0,77396,13932,6076272,3,INR,PROCESSED
setl_xmlmyMKqNm7aHK,ICICN69844576078,2026-07-16,18034779,0,311803,56124,17666852,4,INR,PROCESSED
setl_Ztfm84837MKVSf,ICICN45434649319,2026-07-13,3525178,0,42094,7577,3475507,5,INR,PROCESSED
setl_fOrv37R1yrZPQf,KKBKN41275355749,2026-06-17,5511167,0,110223,19841,5381103,5,INR,PROCESSED
setl_Y7X6VVDDdxfgR0,HDFCN80686564677,2026-06-25,2204844,0,37660,6779,2160405,5,INR,PROCESSED
setl_24aVE2gdEZUJTc,HDFCN51157837104,2026-07-08,2064700,0,7348,1323,2056029,4,INR,PROCESSED
setl_Xq3UG3Ukjc03KB,YESBN22494941480,2026-06-10,50000535,0,0,0,50000535,1,INR,PROCESSED
setl_MvbFhJFSBGaJcK,UTIBN21213946606,2026-07-08,661800,0,15368,2766,643666,4,INR,PROCESSED
setl_yeaI2MJI24vkL7,YESBN06942498442,2026-06-05,1475500,2501,25998,4680,1442321,6,INR,PROCESSED
setl_M6ctfOhNJttvpW,YESBN27490714442,2026-07-14,100000,0,2000,360,97640,1,INR,PROCESSED
setl_KmURa2I267swj7,KKBKN96608495098,2026-06-19,1173517,0,16140,2905,1154472,7,INR,PROCESSED
setl_xG0tMZSNTKWzVj,HDFCN48092440722,2026-06-06,60000606,20000202,0,0,40000404,3,INR,PROCESSED
setl_ZCgFTVERUj074k,UTIBN73051987959,2026-06-09,30300209,10000103,5998,1080,20293028,3,INR,PROCESSED
setl_dwJUDfJk4Msxjv,ICICN67727603778,2026-06-05,2980806,0,46446,8360,2926000,5,INR,PROCESSED
setl_CWH3h0H90MrT91,UTIBN93275424114,2026-07-08,39080900,0,1172427,211037,37697436,1,INR,PROCESSED
setl_zzDl7mNKrB5j68,KKBKN61118195198,2026-06-18,619352,104,4237,763,614248,4,INR,PROCESSED
setl_A7CYarYOgpQqqB,KKBKN28473209916,2026-07-06,50000520,0,0,0,50000520,1,INR,PROCESSED
setl_Ja6AlsvdCtbodh,UTIBN26705601980,2026-07-03,50000530,20000212,0,0,30000318,3,INR,PROCESSED
setl_hB25esJYD5aLD1,KKBKN31347896197,2026-06-02,33212752,2500,9073,1633,33199546,6,INR,PROCESSED
setl_OxlOvn1EfUjdEi,UTIBN10000673085,2026-07-04,967754,0,18116,3261,946377,6,INR,PROCESSED
setl_Gv75Or7Rxbso9d,HDFCN97125786969,2026-06-27,3666400,25000,67988,12239,3561173,6,INR,PROCESSED
setl_4ItwyIcQp1uBtG,KKBKN80981983281,2026-07-06,1145189,0,14432,2599,1128158,5,INR,PROCESSED
