settlement_id,utr,settlement_date,gross_payment_paise,refund_paise,fee_paise,tax_paise,net_amount_paise,line_count,currency,status
setl_7DtRYtCsbjJXh4,UTIBN03401920326,2026-06-11,6932029,0,100153,18028,6813848,6,INR,PROCESSED
setl_q0I5P5ZAyuNXVW,HDFCN90927839678,2026-06-08,100000,0,0,0,100000,1,INR,PROCESSED
setl_0dEkswc7Pi5bKi,HDFCN35242137453,2026-06-13,3951251,25000,106495,19169,3800587,6,INR,PROCESSED
setl_KamCpoLFY3YQIn,YESBN84880588838,2026-06-16,4046086,103,489,88,4045406,4,INR,PROCESSED
setl_ur4XUwNlgLaNFj,UTIBN61819245662,2026-07-02,1603883,0,8311,1497,1594075,5,INR,PROCESSED
setl_16QMQYaeHgeBH3,UTIBN93100134641,2026-06-27,4160600,0,63763,11478,4085359,5,INR,PROCESSED
setl_GIgH3vpoIVlbEn,YESBN77026241386,2026-06-22,3175862,0,12719,2289,3160854,4,INR,PROCESSED
setl_myencLEaXPjYxy,UTIBN24289863621,2026-07-07,176400,0,3528,635,172237,1,INR,PROCESSED
setl_NciKq3X1M7HGiM,ICICN18007822100,2026-06-15,1018233,0,4998,900,1012335,3,INR,PROCESSED
setl_eenzgP9tNP549V,HDFCN53992192035,2026-06-12,30000333,10000111,0,0,20000222,2,INR,PROCESSED
setl_0CbMGVQM8hoAiW,YESBN78730908623,2026-06-18,3024683,0,51114,9201,2964368,5,INR,PROCESSED
setl_gtrQfu7mwXyrWv,YESBN82401680060,2026-06-13,30281218,0,603826,108688,29568704,5,INR,PROCESSED
setl_2DxQOlqTy7Bd5y,HDFCN10122377499,2026-07-11,30459562,10000102,0,0,20459460,4,INR,PROCESSED
setl_2jDDAgvAMCNVTg,YESBN69165608168,2026-06-06,2999900,0,0,0,2999900,1,INR,PROCESSED
setl_ODyxX6wgdQXs71,ICICN53382999602,2026-06-15,2409400,25000,20190,3635,2360575,4,INR,PROCESSED
setl_O3dWE1amfNyxpF,KKBKN50815227011,2026-06-05,644600,2501,3498,630,637971,4,INR,PROCESSED
setl_OGWEdCX3fBY2jp,KKBKN07118100553,2026-07-02,12070060,0,152541,27457,11890062,4,INR,PROCESSED
setl_tcmFi6AcqhZ3e1,HDFCN41958827858,2026-06-11,100000,0,2000,360,97640,1,INR,PROCESSED
setl_iKNp2w2kWJvRCw,HDFCN06730434919,2026-06-20,5018900,0,99878,17979,4901043,5,INR,PROCESSED
setl_WTlV0DJVO1SUfH,UTIBN94892271387,2026-07-11,9375700,0,101996,18360,9255344,4,INR,PROCESSED
setl_ObpEJlWEprsMuG,HDFCN05055837306,2026-06-30,284700,0,3996,720,279984,3,INR,PROCESSED
setl_p987jAinJ9ALcA,UTIBN22688368780,2026-06-05,542753,2501,9875,1778,528599,3,INR,PROCESSED
setl_fgcOwdkLNgyuVB,HDFCN20404686194,2026-07-11,40000408,0,0,0,40000408,1,INR,PROCESSED
setl_pSp5HOVLunex0E,ICICN14170890901,2026-06-13,412600,0,698,126,411776,4,INR,PROCESSED
setl_0SA28CRyg16DKu,YESBN95078144519,2026-07-15,2499900,25000,43748,7875,2423277,2,INR,PROCESSED
setl_J3vzVN89SREgV6,HDFCN19625902012,2026-06-02,3853700,2500,70096,12617,3768487,5,INR,PROCESSED
setl_cTdfLAjtCocoSx,YESBN29838330099,2026-06-15,30000315,10000105,0,0,20000210,2,INR,PROCESSED
setl_cwPfOTmqGFuzNd,UTIBN82108118609,2026-06-08,3239000,2502,63192,11376,3161930,7,INR,PROCESSED
setl_MnQGhaB1NW15n8,KKBKN00119009830,2026-07-13,4562900,0,87962,15833,4459105,4,INR,PROCESSED
setl_7GviaGB0YDENWH,ICICN01653306803,2026-07-09,2393587,44100,42458,7643,2299386,4,INR,PROCESSED
setl_NI9P948kfKP4Kt,KKBKN63941462011,2026-06-13,85905506,0,588849,105993,85210664,5,INR,PROCESSED
setl_IXsmQXuf6lAVTX,UTIBN90648412231,2026-07-15,3813734,0,67444,12140,3734150,3,INR,PROCESSED
setl_OmQ3GcfpIxLMlf,KKBKN72933933472,2026-07-14,16769400,0,293465,52824,16423111,1,INR,PROCESSED
setl_e7JnlinTqjyk7b,HDFCN55941369490,2026-06-08,124800,2502,898,162,121238,3,INR,PROCESSED
setl_WHmWF6gt24KL88,ICICN05579407769,2026-07-16,608300,104,3422,616,604158,6,INR,PROCESSED
setl_kdFSEESn3IndLm,ICICN58413427761,2026-07-16,1125566,0,17807,3205,1104554,5,INR,PROCESSED
setl_033lB18sTulFgb,UTIBN52178018732,2026-06-03,12774300,0,196742,35413,12542145,7,INR,PROCESSED
setl_wdOwlMBSjR4bBJ,UTIBN03459578664,2026-06-25,6015612,0,1246,225,6014141,5,INR,PROCESSED
setl_zcwOsn3KlCki5T,KKBKN46286253861,2026-06-10,3906200,25000,78188,14075,3788937,5,INR,PROCESSED
setl_jyLYgWfkIDczr5,UTIBN97597074247,2026-06-26,1967849,0,34701,6247,1926901,5,INR,PROCESSED
setl_C4Bvq0l2iSbPCn,ICICN41084685480,2026-06-04,21792500,107,0,0,21792393,3,INR,PROCESSED
setl_a9XvjLpGNQBM3J,ICICN61986924212,2026-06-04,12490048,0,107366,19326,12363356,4,INR,PROCESSED
setl_qlN8iDz6bbMVoh,UTIBN71342345505,2026-06-29,21506144,102,425063,76511,21004468,3,INR,PROCESSED
setl_PasupRCOIOJYfr,YESBN76860724838,2026-06-22,938834,0,4294,774,933766,6,INR,PROCESSED
setl_4aXjCVMQmA5cmJ,ICICN29782435100,2026-06-04,198400,0,3968,714,193718,1,INR,PROCESSED
setl_QwRAWE8X0knXJd,ICICN03307408127,2026-07-04,3701577,0,74032,13325,3614220,4,INR,PROCESSED
setl_eQmSJs5vtvx9LW,KKBKN98092668575,2026-07-01,1355500,0,3566,642,1351292,5,INR,PROCESSED
setl_YY5nZ2Fd223Idu,ICICN90925661024,2026-06-12,100000,0,0,0,100000,1,INR,PROCESSED
setl_08yppqZUn8yXPv,HDFCN91130044302,2026-06-02,5275798,0,12573,2263,5260962,4,INR,PROCESSED
