event_id,event_type,txn_id,order_id,amount_paise,currency,status,created_at,method,description
evt_JgwRtIggCWU5L1,REFUND,pay_cgCImEeiqzIHvK,order_b4ydkjuMO9hYXx,20000102,INR,PROCESSED,2026-06-18T15:48:14,upi,
evt_qNBqsE3YGyKeyz,PAYMENT,pay_zu9cCLSijL22Z7,order_nUAVNYbzogtB1G,241000,INR,PROCESSED,2026-07-04T23:24:35,card,Realme Buds Wireless 2 neckband
evt_jz4K4T033PyHs4,PAYMENT,pay_msVuhOz0yVOIIc,order_4jkUwOiftoDdZR,199900,INR,PROCESSED,2026-06-20T12:57:03,card,Atomic Habits hardcover edition
evt_N5KkBGPlq02RrU,REFUND,pay_ajgCtBkUex4CB6,order_ev0S59EWQ7Nt8X,168586,INR,PROCESSED,2026-06-19T02:15:40,emi,
evt_3LVfjbRTXDQGDZ,PAYMENT,pay_neMS4KD75i11wc,order_bE9ruVg6wuCvSl,69900,INR,PROCESSED,2026-06-05T22:29:19,upi,Nilkamal stackable plastic chair
evt_9zXDoERXDNrHMc,PAYMENT,pay_RKMcTrOmMQ40n8,order_zvFLN4BGxbrMtA,27497,INR,PROCESSED,2026-07-09T12:01:54,card,Nilkamal stackable plastic chair
evt_jfrFAzzCNFSAsT,PAYMENT,pay_Og1ohxXvLxqz6B,order_qoFc7j8TfHaFYv,40000404,INR,PROCESSED,2026-07-03T09:30:00,upi,Woodland leather high ankle
evt_x36XNRVnQBURyg,PAYMENT,pay_snle7uh0j9Uam3,order_Hr96e0WEPkWGcV,21800,INR,PROCESSED,2026-06-03T19:16:09,upi,NCERT class 10 science textbook
evt_l3KkRiejJ99Xdp,PAYMENT,pay_dYZzTF2v6zCLyJ,order_iAfoQewyhdhtuO,20100106,INR,PROCESSED,2026-06-08T07:37:48,upi,Nescafe classic 200g jar
evt_fbLBa92kI3OoUL,PAYMENT,pay_XFoTFAwq0EK2QY,order_0tYBURn57O8v6T,47900,INR,PROCESSED,2026-06-04T10:00:00,wallet,Woodland leather high ankle
evt_j47wYphouHSEgj,PAYMENT,pay_epsOEZxrEqMX5R,order_MVNUKoZVJ2tmWl,89900,INR,PROCESSED,2026-06-16T06:29:35,card,Wakefit study table walnut
evt_7lOKUbCp4hIn4a,PAYMENT,pay_PwmLuoa2ecymv6,order_got1JfUzhx6xth,20100109,INR,PROCESSED,2026-07-14T18:38:15,upi,Hawkins contura pressure cooker 3L
evt_e3xr2X0pIhxgxa,REFUND,pay_GMbrZpOd3XTy1x,order_x8u7SQok2K5aGq,10000111,INR,PROCESSED,2026-07-02T09:45:00,upi,
evt_eLG4eD3FF2sR6A,REFUND,pay_bYsTN1Dt4mqRqF,order_0bZyZWN8IrbJUj,10000109,INR,PROCESSED,2026-07-03T09:15:00,upi,
evt_ppqZUn8yXPvSYe,PAYMENT,pay_Po0Dw076b1R08y,order_IErOvNuiH8WM3j,3078500,INR,PROCESSED,2026-07-11T18:18:44,wallet,Levis 511 slim fit jeans
evt_vbCmVfoQ2ZIwJR,PAYMENT,pay_v79cApcILgnllv,order_f9Fvk2IFbkmpzf,538400,INR,PROCESSED,2026-06-21T09:13:26,upi,Nescafe classic 200g jar
evt_tbYLtWrl9eWUAH,PAYMENT,pay_bq4LqbmD9Rthwj,order_cWXzuzEmJ8XcpH,3365100,INR,PROCESSED,2026-06-25T05:52:59,card,Wings of Fire paperback
evt_w9ztMJqP46O1KB,PAYMENT,pay_H8rBt0tSwfr9Qw,order_FGvwI1RotExL7m,49900,INR,PROCESSED,2026-06-22T00:48:40,netbanking,Allen Solly cotton casual shirt
evt_eGzYaL07PqLXIS,PAYMENT,pay_R4xGihYcOI4g92,order_rroIPwW1dgFTcu,4999900,INR,PROCESSED,2026-06-18T08:00:00,card,Mamaearth onion hair shampoo
evt_lqOUtJ6hI6NEsd,PAYMENT,pay_WUHrjoQKX2pTuk,order_0yHYRcsVg94QfJ,3258326,INR,PROCESSED,2026-06-07T10:00:00,upi,Prestige induction cooktop 1900W
evt_X8XH3PcAcYqXRJ,PAYMENT,pay_QD1qYGUDmAkTxT,order_B2xe1KhFEav30y,293500,INR,PROCESSED,2026-06-18T14:47:14,upi,Minimalist niacinamide serum
evt_i5UbHkFEwwXcMN,PAYMENT,pay_a6xZyOXpCK0dhH,order_EX6Vd5JtSMWaLx,1038900,INR,PROCESSED,2026-06-15T12:42:15,card,Milton thermosteel flask 1L
evt_fCJ6zDdZIbtuMU,PAYMENT,pay_Hsmd3G7iSaqfrJ,order_NoQFJXBd5VyiCL,36500,INR,PROCESSED,2026-06-14T14:44:30,netbanking,Atomic Habits hardcover edition
evt_vK3CvNQTFaFqlt,REFUND,pay_uZgseR2KPq4lYm,order_kSFnlnnB9vab0X,10000104,INR,PROCESSED,2026-07-04T09:30:00,upi,
evt_IKVpqfHISggN47,REFUND,pay_wzkiK8oPKGVKCc,order_swRmfjGs2YePKm,20000102,INR,PROCESSED,2026-06-18T15:47:14,upi,
evt_OI8ePSIguzEBJ4,PAYMENT,pay_DqN4ePvaorqxg7,order_CFmBvN3uhS0nRt,30000339,INR,PROCESSED,2026-07-12T08:00:00,upi,Hawkins contura pressure cooker 3L
evt_d6JonHBTktaSO4,PAYMENT,pay_niaM2uswAxqlLG,order_wJuayKrrZL588j,20100105,INR,PROCESSED,2026-06-04T06:38:38,upi,Lakme absolute matte foundation
evt_SGpglSY77Lp5ty,PAYMENT,pay_2m9qsLfuRK9czL,order_OdjAnyFpBlr4FC,799900,INR,PROCESSED,2026-06-27T08:13:10,card,Minimalist niacinamide serum
evt_L1l6NPUc3FHKKJ,PAYMENT,pay_38QPazWg2e7OoN,order_spgfB0lBRhpKym,249900,INR,PROCESSED,2026-06-27T08:13:10,netbanking,Godrej Interio steel almirah
evt_uSjMfSTFrul4AH,PAYMENT,pay_ayuuhzWsAZpRhp,order_usosYbtpH8xgOG,499900,INR,PROCESSED,2026-06-27T08:13:10,card,Biba anarkali kurta set
evt_pjJrU5inRkEHRN,PAYMENT,pay_5zD47ByppeHg6c,order_N50htQrkDiFGzK,311324,INR,PROCESSED,2026-07-02T02:30:23,upi,Biba anarkali kurta set
evt_sNeZF93tSQmFcO,REFUND,pay_WUHrjoQKX2pTuk,order_0yHYRcsVg94QfJ,2502,INR,PROCESSED,2026-06-07T11:00:00,upi,
evt_JWKER4IOiYXF7N,PAYMENT,pay_rBwT2CbpOkfZq3,order_GxPswfK8aUUe6j,86568,INR,PROCESSED,2026-07-08T08:24:33,netbanking,Levis 511 slim fit jeans
evt_1pAymDFpBc32A0,PAYMENT,pay_uZgseR2KPq4lYm,order_kSFnlnnB9vab0X,50000520,INR,PROCESSED,2026-07-03T09:30:00,upi,Prestige induction cooktop 1900W
evt_HjmjcZU2bTupp1,PAYMENT,pay_81F8XTyktkNqs8,order_Sr6diuB2cIpeq1,9900,INR,PROCESSED,2026-06-03T18:46:29,upi,Classmate spiral notebook pack
evt_B6LB5szkoREFaB,PAYMENT,pay_EYCLUfSWF2VuMk,order_31uiMHtNH7hYNg,314900,INR,PROCESSED,2026-07-06T12:05:47,netbanking,Nike Air Zoom Pegasus 40
evt_dkkhENpbo3wkAM,PAYMENT,pay_wSBhSrFTrjRiUv,order_zlIuZhCf1b2P60,79900,INR,PROCESSED,2026-06-01T10:00:00,upi,Mi power bank 20000mAh
evt_8sblIhz60JThM6,REFUND,pay_MVcpLtFvnEpBIC,order_o9gX1EFT7g7MEe,10000111,INR,PROCESSED,2026-07-03T09:00:00,upi,
evt_nQOXXFxwvWeUQX,PAYMENT,pay_zZRQ0Frilwa9ua,order_kivaPPkJRmiLZL,289000,INR,PROCESSED,2026-06-11T00:52:57,upi,Classmate spiral notebook pack
evt_2s9wVyZHH9KNBC,PAYMENT,pay_GUlABaR7Oh8E9b,order_n11D6S6CVVggKl,499900,INR,PROCESSED,2026-06-19T07:01:39,wallet,Realme Buds Wireless 2 neckband
evt_qlwRoCmsePy8C8,PAYMENT,pay_5p4SDTtI6ypF47,order_UunuHpzbl5rZkt,144200,INR,PROCESSED,2026-07-07T21:07:13,emi,Hawkins contura pressure cooker 3L
evt_Whc098iScrbuiZ,PAYMENT,pay_ttYmIK42el0Nkx,order_JzCyc4fKPDdBWO,4266443,INR,PROCESSED,2026-06-16T06:29:35,netbanking,Puma Smash v2 sneakers
evt_JyjY246TWT7OvS,REFUND,pay_5H8TY6RG4ogLH7,order_cCNKT3NMfrzWiS,10000100,INR,PROCESSED,2026-07-06T09:15:00,upi,
evt_JS31P2LzWtEiUV,PAYMENT,pay_8an2f63bnPwjLm,order_LEHamof7BwlVIA,349900,INR,PROCESSED,2026-06-10T12:49:19,wallet,Realme Buds Wireless 2 neckband
evt_t7kMb2DJloteLO,REFUND,pay_UMIgDhodwgpCQH,order_lvDUeNuUYQili7,10000112,INR,PROCESSED,2026-07-09T09:15:00,upi,
evt_gMWc3oOSBQvMZl,PAYMENT,pay_phaqFbrkI9nASF,order_WlsgsiddrOURyW,99900,INR,PROCESSED,2026-06-14T14:44:30,upi,Aashirvaad select atta 5kg
evt_M0KEoCycq6uUYM,PAYMENT,pay_JDZsTWK04TUhJB,order_6zqAXwoRIdlZz2,89900,INR,PROCESSED,2026-06-11T04:46:32,upi,Atomic Habits hardcover edition
evt_bdsLMqKv5ADS96,PAYMENT,pay_HDc97XJAzzS1V3,order_IRf8Km2SPvFgEy,79900,INR,PROCESSED,2026-06-05T22:29:19,upi,Bata formal derby black
evt_gGVugRVtToBaC7,PAYMENT,pay_1qKDNREZlWJQTI,order_C6qnNKlQ9TgH5L,452633,INR,CAPTURED,2026-06-05T17:48:32,netbanking,Atomic Habits hardcover edition
evt_9L4w8XHdnzByhK,PAYMENT,pay_zTPRL4QF8klDEX,order_DAsA1yucCYL6hv,30000315,INR,CAPTURED,2026-07-12T09:45:00,upi,Hawkins contura pressure cooker 3L
evt_ptS3mj76kgMcAj,PAYMENT,pay_T2qjwODjltZl0y,order_NLPZUzKZmSQsEI,1299900,INR,PROCESSED,2026-07-09T05:53:20,card,Tata Sampann toor dal 1kg
evt_x5pVLwf40qEKRT,REFUND,pay_1JER4ZsnSNV5Tx,order_x7e4E677zprCXi,10000108,INR,PROCESSED,2026-06-13T09:30:00,upi,
evt_qDJ8nv4kVv3kEF,PAYMENT,pay_N19AahIu0pnZfl,order_yVgK4BbJwWOugh,41454,INR,PROCESSED,2026-06-04T10:00:00,card,Allen Solly cotton casual shirt
evt_Wg91tHCsa7gmRg,PAYMENT,pay_5GE6QPe7pGO0QC,order_a7JHal5A3IYynl,1999900,INR,PROCESSED,2026-06-16T06:29:35,upi,Prestige induction cooktop 1900W
evt_VWEqt4H2hIcEdo,REFUND,pay_ogAWMHSXLGFlP9,order_BHTgq72lDaUriQ,82662,INR,PROCESSED,2026-06-29T10:13:38,netbanking,
evt_1E2eLKiB9Ycjsl,PAYMENT,pay_0nPpk9cXT2AJI3,order_zGenfJWXSfS9zc,308512,INR,PROCESSED,2026-06-01T10:00:00,upi,Woodland leather high ankle
evt_RNiFsshejqPOYb,PAYMENT,pay_qvWIh3yQ4rfEob,order_KPhgUVpcasrOna,387600,INR,PROCESSED,2026-07-11T18:18:44,upi,Lakme absolute matte foundation
evt_i0qnKTqGNnvPmU,PAYMENT,pay_6W2AN18c2CO4dI,order_ky8YD2b49lDUqN,1499900,INR,PROCESSED,2026-06-15T21:58:41,card,Levis 511 slim fit jeans
evt_AJzmgvxPUWYfzY,PAYMENT,pay_8a3zVtKIyVWiNI,order_tQxYOiHGcnDm2n,2885100,INR,PROCESSED,2026-06-04T10:00:00,card,Noise ColorFit smartwatch
evt_uv4P1P2MwXFeZ2,PAYMENT,pay_yp1rMpJ4WVWcsz,order_DCiry3uaHzbUEI,42900,INR,CAPTURED,2026-07-04T23:24:42,card,Nykaa so matte lipstick
evt_jegpHAI1AHp74y,REFUND,pay_MVcpLtFvnEpBIC,order_o9gX1EFT7g7MEe,10000111,INR,PROCESSED,2026-07-08T09:30:00,upi,
evt_ZvCCqOfr8qgpI0,REFUND,pay_zTPRL4QF8klDEX,order_DAsA1yucCYL6hv,10000105,INR,PROCESSED,2026-07-13T09:45:00,upi,
evt_L2r9gW2uFg7UGj,PAYMENT,pay_l3AL8ftBOaKDCm,order_786FrDJBI6qmmK,480835,INR,PROCESSED,2026-07-04T16:21:32,card,Lakme absolute matte foundation
evt_F34dKRWgJCu58o,PAYMENT,pay_8QloehZUIYAs1s,order_hhuoPChWhRcI8x,49900,INR,PROCESSED,2026-07-09T12:01:54,wallet,Nike Air Zoom Pegasus 40
evt_ygK5nGpMZk43WX,PAYMENT,pay_36B5icxMacEkyj,order_Fn3we5iFxjJuWu,326300,INR,PROCESSED,2026-06-07T11:20:11,card,Aashirvaad select atta 5kg
evt_gRZBiN9QPxK6Nn,PAYMENT,pay_D2jDDAgvAMCNVT,order_jKzNh0Aw12XW7z,24900,INR,PROCESSED,2026-07-02T02:30:23,upi,Nykaa so matte lipstick
evt_pucZhhhshMSUco,PAYMENT,pay_CzCc7QqLtsF5tB,order_bwyHYAWBVoj6vl,9900,INR,PROCESSED,2026-06-05T22:29:19,netbanking,Puma Smash v2 sneakers
evt_ss6bZjpCe33XM9,PAYMENT,pay_gBx9U7GSOKd3xe,order_EwVqdN9WZyeKBY,410400,INR,PROCESSED,2026-06-05T16:07:26,card,Saffola gold edible oil 1L
evt_c88PXq2mq5f5Cz,REFUND,pay_l50h6VD45NRCGA,order_5I21AkaYHJaEHK,103,INR,PROCESSED,2026-06-20T00:13:05,upi,
evt_3Cp1VsNlCWb0DU,PAYMENT,pay_LesF6FMi3WITyO,order_ipBipSomz4lBw5,1299900,INR,PROCESSED,2026-06-30T05:37:32,upi,Realme Buds Wireless 2 neckband
evt_S9RTNVSfUU4K3Q,REFUND,pay_dYZzTF2v6zCLyJ,order_iAfoQewyhdhtuO,20000106,INR,PROCESSED,2026-06-08T08:37:48,upi,
evt_Me6uIyXtFoDzdm,PAYMENT,pay_QGhaB1NW15n8bA,order_b7Tic8spMrjmfH,119900,INR,PROCESSED,2026-06-30T04:07:34,upi,Noise ColorFit smartwatch
evt_GJ511KxvSKamCp,PAYMENT,pay_P3vkecy75I7YMs,order_oLFY3YQInWV6YG,223460,INR,PROCESSED,2026-06-21T07:31:02,wallet,boAt Rockerz 450 headphones
evt_5lBw6orJTQjudf,PAYMENT,pay_oxY0YZrMR34BZ2,order_0Iwfed8rRH3LzO,32800,INR,PROCESSED,2026-07-09T06:12:51,upi,Nike Air Zoom Pegasus 40
evt_b6QGnZ8cJlp4mv,REFUND,pay_1JER4ZsnSNV5Tx,order_x7e4E677zprCXi,10000108,INR,PROCESSED,2026-06-18T09:15:00,upi,
evt_qDfJzjgDoavRNU,PAYMENT,pay_0EtVQuorH2z8l2,order_9nzpZsjYXlQcpW,16769400,INR,PROCESSED,2026-06-02T09:59:59,card,Mi power bank 20000mAh
evt_M7trZ1QtNrvM88,PAYMENT,pay_BOcaYwy0fwa4IX,order_3DGSsmXJS1lLZL,2999900,INR,PROCESSED,2026-06-03T18:46:29,upi,Biba anarkali kurta set
evt_bsQ9831opFXuZD,PAYMENT,pay_REb6SlIGuNCgqr,order_vG0t2a9XvjLpGN,599900,INR,PROCESSED,2026-06-26T23:06:10,upi,Wakefit study table walnut
evt_gx6pw0RyiT5Gi4,PAYMENT,pay_CwRvxUNA1xFG3s,order_UJVb8t2xnTCpYL,34900,INR,PROCESSED,2026-07-08T09:05:14,card,Lakme absolute matte foundation
evt_rb96GhiZDlxOND,PAYMENT,pay_7J7MTZWpdmm8bC,order_L1UuxANY7A8YcL,24571,INR,CAPTURED,2026-06-05T17:48:32,card,Minimalist niacinamide serum
evt_HrCbnFrGtIPoIs,PAYMENT,pay_MUyGwzqtNc9ZZF,order_LCMIfKuwQvExin,100000,INR,PROCESSED,2026-06-22T12:57:03,upi,Bata formal derby black
evt_vuiFHEoyRkxlF5,PAYMENT,pay_goXpfBTaL9th1Q,order_Aj0HZpWjexHzia,229700,INR,PROCESSED,2026-06-03T19:16:09,card,Saffola gold edible oil 1L
evt_OuaFMqw0kFpvR7,PAYMENT,pay_qND33w1JWl40dN,order_fXqkYpR4IgHmat,9900,INR,CAPTURED,2026-06-10T01:47:32,netbanking,Wakefit study table walnut
evt_giGWIJBh5eg6ID,PAYMENT,pay_PvrEeLi03AcTYy,order_vrbo45ctCaIV0H,358500,INR,PROCESSED,2026-06-02T11:14:44,upi,Biba anarkali kurta set
evt_OCwaCt42sR5EwN,REFUND,pay_Og1ohxXvLxqz6B,order_qoFc7j8TfHaFYv,10000101,INR,PROCESSED,2026-07-08T09:00:00,upi,
evt_vsqoSDHN0zbwNO,PAYMENT,pay_GXzWzyR2GuK1Kp,order_sJP7XIoUasNFAe,39900,INR,CAPTURED,2026-06-22T19:26:40,upi,Nykaa so matte lipstick
evt_PaIOY0Spssw6Vg,PAYMENT,pay_pX2cYWGTbGTlWB,order_XNoRgNzyawq7pi,1499900,INR,PROCESSED,2026-06-19T07:01:39,upi,Jockey vest pack of three
evt_78GchjJP5Ol9m8,PAYMENT,pay_b5zTfKitfMuE0a,order_2PQkHdaPc675Rz,20100104,INR,PROCESSED,2026-06-23T10:13:57,upi,Mamaearth onion hair shampoo
evt_7jbb0ZLsVIoffy,PAYMENT,pay_LygJykNru52SJd,order_12i6zR8vb6Ke6y,29900,INR,PROCESSED,2026-06-19T00:23:04,upi,Noise ColorFit smartwatch
evt_RgoWvc2QwvI62w,PAYMENT,pay_EYA9OQZyCQHqKl,order_Kk6IE5toFJBLW7,20100101,INR,PROCESSED,2026-06-03T18:46:29,upi,Saffola gold edible oil 1L
evt_x9CU4oMepYN2CP,PAYMENT,pay_rpBFUn6ffbVD2u,order_2jfnnFD5bMqK02,119900,INR,PROCESSED,2026-06-28T17:50:06,upi,Wings of Fire paperback
evt_ji29RjdiOk6Nqd,PAYMENT,pay_NrKUa10KF9IdmS,order_UVQttoLn1Q44zJ,99900,INR,PROCESSED,2026-07-08T09:05:14,upi,NCERT class 10 science textbook
evt_2yASdbPBMyrMJT,PAYMENT,pay_mhY21EkxgSINyD,order_e0zhdGACuntsrF,4900,INR,PROCESSED,2026-07-04T16:21:32,upi,Noise ColorFit smartwatch
evt_bHmLNZtHyW5Bs9,PAYMENT,pay_ycnT0UkyhyrdGr,order_E1ZbCYNqdrnIHm,3465594,INR,PROCESSED,2026-06-30T05:37:32,upi,Wings of Fire paperback
evt_LUuW62fYXgMucm,PAYMENT,pay_eItS1fhO9rSufJ,order_12VHJNHBY13nKH,404200,INR,PROCESSED,2026-06-07T11:20:11,card,boAt Rockerz 450 headphones
evt_UrB1MgmVQQVWMg,PAYMENT,pay_mF6tqOpURqrpHu,order_qeKeflspfPWQDg,599900,INR,PROCESSED,2026-07-05T08:00:00,upi,Wakefit study table walnut
evt_zC2lcg3RDJPKSl,PAYMENT,pay_QkDKK0lP5Ffu31,order_LKSjiivZbduqMn,299900,INR,CREATED,2026-06-10T23:23:26,card,Saffola gold edible oil 1L
evt_gFH87OdcPjopyc,PAYMENT,pay_bXBxqlv6gHDcR0,order_8TQhH41tJyevU5,20100108,INR,PROCESSED,2026-06-06T11:19:44,upi,Puma Smash v2 sneakers
evt_SGQFe7BYchGrar,PAYMENT,pay_iQDBYVRYyQdqle,order_o0zhlC91j6U9CB,799900,INR,FAILED,2026-06-13T17:29:51,upi,Bata formal derby black
evt_QEUdmmaP2Srwxt,PAYMENT,pay_wb8zHwks7QtMKv,order_L08ipimQtYobs7,3739900,INR,PROCESSED,2026-06-02T05:23:20,emi,Allen Solly cotton casual shirt
evt_miIUox4L4wxtOL,PAYMENT,pay_VrhNEEjqpbXLst,order_jR3aKZwnvnV40x,294800,INR,PROCESSED,2026-07-07T18:34:17,upi,Godrej Interio steel almirah
evt_8B2qtkqeuHjCfq,PAYMENT,pay_34H7sjFQ3xAne4,order_gFZGRZKQFqdWi6,29378,INR,PROCESSED,2026-07-06T12:05:47,upi,Allen Solly cotton casual shirt
evt_CmPXQfnziemtEw,PAYMENT,pay_Qnn3EOKyubOdly,order_Sy16bO5roGr3t8,115900,INR,PROCESSED,2026-07-07T21:07:13,card,NCERT class 10 science textbook
evt_bFidcml5RQZslb,PAYMENT,pay_UMIgDhodwgpCQH,order_lvDUeNuUYQili7,40000448,INR,PROCESSED,2026-07-08T09:15:00,upi,Allen Solly cotton casual shirt
evt_OTsLOq3Njp47M1,PAYMENT,pay_t6mzBRKAKKDv3J,order_K5w0Osolsqx4Ol,1299900,INR,PROCESSED,2026-07-05T02:25:56,upi,Jockey vest pack of three
evt_518Be0WxfritiS,PAYMENT,pay_wRjHzpThSPp85q,order_yKqRSfQ7lZDaLQ,363329,INR,PROCESSED,2026-07-06T08:00:00,card,Nilkamal stackable plastic chair
evt_pDTR2D987LNlGg,PAYMENT,pay_RG8vhtjXafceun,order_Qir3sUYis1WL4z,999900,INR,PROCESSED,2026-06-19T02:15:40,upi,Noise ColorFit smartwatch
evt_ueAQCwS6cSOwFc,PAYMENT,pay_ZxlaFDW5OQpt4C,order_ZexwKu9edfY0Dy,179900,INR,PROCESSED,2026-07-07T06:08:06,netbanking,Realme Buds Wireless 2 neckband
evt_twvLRnTeDKTWud,PAYMENT,pay_LKvQznJwRJ2RZY,order_plbSF9MsbScoQf,4999900,INR,PROCESSED,2026-07-07T21:07:13,upi,NCERT class 10 science textbook
evt_isK66rVGfh0FuW,PAYMENT,pay_TOri6wyb5oiJR8,order_pWMYY9sOpMXKEL,193600,INR,PROCESSED,2026-06-29T06:27:28,upi,boAt Rockerz 450 headphones
evt_3dltr6YmCgJlP3,PAYMENT,pay_cuCGIW3fPY7hZR,order_sIjzq3Kts0so4z,735300,INR,PROCESSED,2026-07-09T21:38:32,upi,Wings of Fire paperback
evt_uzAExJjM8uL3JT,PAYMENT,pay_O0fDiwlBDQb2gI,order_hFBbSXtBBIKnAu,149900,INR,FAILED,2026-06-10T23:23:26,wallet,Aashirvaad select atta 5kg
evt_SqX4dwwH8M24Gk,PAYMENT,pay_k2mm5Ovx7RPwBP,order_RUmQHzQ9gHV4bQ,861968,INR,PROCESSED,2026-06-12T16:42:16,card,Woodland leather high ankle
evt_A0tzliyLO9REXB,PAYMENT,pay_hu35pFL99mpYVT,order_KZPl4RGoBM8G7w,30000312,INR,PROCESSED,2026-07-09T08:00:00,upi,Bata formal derby black
evt_UiMdsPZs7BqhPE,PAYMENT,pay_3ZiRcR1z20WtRY,order_IntzWzCk74TjMU,117200,INR,PROCESSED,2026-06-14T14:44:30,wallet,Saffola gold edible oil 1L
evt_nPPf1VNS56MOyg,PAYMENT,pay_MbJLMfdxLCiORO,order_Lqkq1XjMt4OjXE,29805,INR,PROCESSED,2026-06-29T06:27:28,card,Wings of Fire paperback
evt_hSk6s9HcsisJsf,REFUND,pay_WtLmTigKgzalDQ,order_XFlHdEwaV4aTtN,2502,INR,PROCESSED,2026-06-07T11:00:00,upi,
evt_bUfVUXi2A0QWz7,PAYMENT,pay_gCyrZMZT0LgSUc,order_UeofT1hwZpAMWg,349900,INR,PROCESSED,2026-06-19T07:01:39,card,Nilkamal stackable plastic chair
