detail_id,settlement_id,event_id,line_type,gross_effect_paise,fee_paise,tax_paise,net_effect_paise,settled_at,currency,reference_text
dtl_JDhHSmHUyJ7OYV,setl_2RgtznvmCHdSRQ,evt_ry3uaHzbUEIRaq,PAYMENT,49900,0,0,49900,2026-07-04T11:30:00,INR,
dtl_OJnYW7AfzH3hAp,setl_NciKq3X1M7HGiM,evt_pn98AMNelXhueL,PAYMENT,436733,0,0,436733,2026-06-15T11:30:00,INR,
dtl_WckTIoM19vRzYC,setl_2mvVwiV812hV8M,evt_0HGzwRaPkEAmfH,PAYMENT,364800,0,0,364800,2026-06-13T11:30:00,INR,
dtl_gfJIYfH4qwaSWE,setl_KamCpoLFY3YQIn,evt_jhKKtZnaT6p1ib,PAYMENT,16300,489,88,15723,2026-06-16T11:30:00,INR,
dtl_5wWMgQV3osRMCO,setl_Iftus2CxI50eQ5,evt_D47ByppeHg6cpj,PAYMENT,799900,0,0,799900,2026-06-08T11:30:00,INR,
dtl_WrQ2mY3RMPVU5B,setl_8V6GyOywVEqP2O,evt_yZeI8EMzDVBYBE,PAYMENT,12263,368,66,11829,2026-06-08T11:30:00,INR,
dtl_eJYo3W2TIGX9AV,setl_EgId4RDr0w1ykW,evt_AjMkFCF7m4rWbW,PAYMENT,30000300,0,0,30000300,2026-07-06T11:30:00,INR,
dtl_V1X7g0kq1m1vum,setl_PasupRCOIOJYfr,evt_pNMTphUTl5gJBz,PAYMENT,294334,0,0,294334,2026-06-22T11:30:00,INR,
dtl_JaUmd7XrrAhpOi,setl_xp5hnQJl84MW71,evt_Cz4PDPxVEcyZPa,PAYMENT,79900,0,0,79900,2026-06-20T11:30:00,INR,
dtl_GJs83ACHrLVdZj,setl_8V6GyOywVEqP2O,evt_yCfIxgqKrm57pZ,PAYMENT,4900,0,0,4900,2026-06-08T11:30:00,INR,
dtl_GUDmAkTxTX8XH3,setl_hYXx67VfJgwRtI,evt_8MowzkiK8oPKGV,PAYMENT,43000,0,0,43000,2026-06-29T11:30:00,INR,
dtl_9w7voKYJLtgXIW,setl_ZwH6Qwxq4NXAx7,evt_qL8xDxToWpTLVo,PAYMENT,75100,0,0,75100,2026-06-25T11:30:00,INR,
dtl_AWi1PWJENn9tH3,setl_ffJSmFVaeI6A3V,,REFUND,-10000106,0,0,-10000106,2026-06-16T11:30:00,INR,
dtl_sp2wCB2EzUVw9c,setl_mTAfJZIU3cHYvn,evt_4lUgzbdMCUlmJM,PAYMENT,49900,0,0,49900,2026-06-22T11:30:00,INR,
dtl_SZsnukDLO1VOoJ,setl_ZwH6Qwxq4NXAx7,evt_FFfBzQZkNFH0B5,PAYMENT,34900,698,126,34076,2026-06-25T11:30:00,INR,
dtl_xsP5xB8AUu5R71,setl_i4vu6nVx11hxv6,evt_BCCHy2by3iACOz,REFUND,-25000,750,135,-25885,2026-07-02T11:30:00,INR,
dtl_obRNiFsshejqPO,setl_08yppqZUn8yXPv,evt_COd2OBidgWO12P,PAYMENT,682200,11939,2149,668112,2026-06-02T11:30:00,INR,
dtl_A2ymy1IZEtkyOq,setl_SYZ5X1mrKfMf8q,evt_95eS9ILFbvjV8u,PAYMENT,4900,98,18,4784,2026-07-10T11:30:00,INR,
dtl_PtvgmltndpTW5i,setl_cTdfLAjtCocoSx,evt_eWRHJ8MK300fqo,PAYMENT,30000315,0,0,30000315,2026-06-15T11:30:00,INR,
dtl_96Ehk3Q1l0Jlv7,setl_MaLuBPkh537M0B,evt_YW6Hd8CJunWPIe,PAYMENT,357834,6262,1127,350445,2026-07-11T11:30:00,INR,
dtl_3iYjCK1DrdBfz3,setl_xfEboOcL6xwYFm,evt_LCDb9Pq40WVBCH,PAYMENT,1999900,0,0,1999900,2026-07-08T11:30:00,INR,
dtl_fvPiDJaJzaiwdd,setl_ODyxX6wgdQXs71,evt_W62fYXgMucm12V,PAYMENT,309600,6192,1115,302293,2026-06-15T11:30:00,INR,
dtl_996UVNdf8aM2jz,setl_KDOM0kDENOUwft,evt_O95Cy1zyluIm4S,PAYMENT,4999900,0,0,4999900,2026-07-13T11:30:00,INR,
dtl_6ujHgqeNs8wylq,setl_eQmSJs5vtvx9LW,evt_POt4b2ZXEmJZpR,PAYMENT,178300,3566,642,174092,2026-07-01T11:30:00,INR,
dtl_Eu2uHbBTr7aoT9,setl_WHmWF6gt24KL88,,REFUND,-104,0,0,-104,2026-07-16T11:30:00,INR,
dtl_9ztMJqP46O1KBF,setl_8rBt0tSwfr9Qww,evt_i0oEKrNaxx6IhO,PAYMENT,30000327,0,0,30000327,2026-07-06T11:30:00,INR,
dtl_egm99nfGqVqm2X,setl_C4Bvq0l2iSbPCn,evt_5tH6hPprABpOfS,PAYMENT,21758200,0,0,21758200,2026-06-04T11:30:00,INR,
dtl_nCqWWpI1DDlDLH,setl_cwPfOTmqGFuzNd,evt_uEQZe6k8sotsnx,PAYMENT,599900,11998,2160,585742,2026-06-08T11:30:00,INR,
dtl_0YsAOoleAoNF8M,setl_cVnNkhSkItGJm1,evt_TI91D0dHxIKyR9,REFUND,-25000,500,90,-25590,2026-06-10T11:30:00,INR,
dtl_J5xZWO6m3dyMgx,setl_YY5nZ2Fd223Idu,evt_GpMZk43WXFn3we,PAYMENT,100000,0,0,100000,2026-06-12T11:30:00,INR,
dtl_NmxSYADNLxh1jZ,setl_eQmSJs5vtvx9LW,evt_KEA3sDjbjR1pVm,PAYMENT,331400,0,0,331400,2026-07-01T11:30:00,INR,
dtl_dmb7Tic8spMrjm,setl_MnQGhaB1NW15n8,evt_W8jZ3cxbNING8E,PAYMENT,119900,0,0,119900,2026-07-13T11:30:00,INR,
dtl_PEIntzWzCk74Tj,setl_ur4XUwNlgLaNFj,evt_w63dL7lZbKLa7x,PAYMENT,474900,8311,1496,465093,2026-07-02T11:30:00,INR,
dtl_PGchSOfB31E8wN,setl_VKZlZZeGbcedNw,evt_apIiCaUFu1ZOID,PAYMENT,40000412,0,0,40000412,2026-06-03T11:30:00,INR,
dtl_iRQ5PxdiEFml1r,setl_Gpel6mc5gHWj5p,evt_oNUIpVhIHSDv9Y,PAYMENT,40000416,0,0,40000416,2026-06-20T11:30:00,INR,
dtl_evEQHvKpkzpc3J,setl_ZfPlpnjnfQ482T,evt_GWIJBh5eg6IDvr,REFUND,-10000113,0,0,-10000113,2026-06-05T11:30:00,INR,
dtl_Ms1G0D3eOFLgA4,setl_jiy5cz774WlTPt,evt_WdAr28R6NC1k1y,PAYMENT,132000,2310,416,129274,2026-07-15T11:30:00,INR,
dtl_TgABw27gmX4oBY,setl_x5UZWrZy27GWnU,evt_OZcyhn6dXNcVjJ,PAYMENT,485347,14560,2621,468166,2026-06-06T11:30:00,INR,
dtl_jdJsFHag8Ch7mm,setl_xp5hnQJl84MW71,,REFUND,-10000104,0,0,-10000104,2026-06-20T11:30:00,INR,
dtl_MVf0sBzZRQ0Fri,setl_igEe4fNcka05Sx,evt_KyBhuylfOVdzFt,REFUND,-25000,500,90,-25590,2026-06-06T11:30:00,INR,
dtl_l5F4IRqUYtKPYa,setl_8gX8T9qT4ai9Lx,evt_gpYR4oPTjzVcMM,PAYMENT,14396000,0,0,14396000,2026-06-05T11:30:00,INR,
dtl_Q1vMtrV1iyjrT8,setl_7DtRYtCsbjJXh4,evt_JlEn0bCwifPDcC,PAYMENT,1275222,25504,4591,1245127,2026-06-11T11:30:00,INR,
dtl_M1lPOPPgq74kXe,setl_pSp5HOVLunex0E,evt_PRL4QF8klDEX9L,PAYMENT,116300,0,0,116300,2026-06-13T11:30:00,INR,
dtl_6h8Wulq8NtKoG8,setl_Ct42sR5EwNsvMT,evt_bQshljJhOSct7d,PAYMENT,9900,198,36,9666,2026-07-14T11:30:00,INR,
dtl_ZYclCEuJ5IshZD,setl_pusldMYC3l7rMe,evt_JDThlgQCl8mSod,PAYMENT,29134680,509857,91774,28533049,2026-06-13T11:30:00,INR,
dtl_vNcssXLTpGqDpb,setl_0CbMGVQM8hoAiW,evt_e42z7nEhVpCBm3,PAYMENT,198100,0,1,198099,2026-06-18T11:30:00,INR,
dtl_J3wVpgROMcNCNB,setl_e7JnlinTqjyk7b,evt_VySCVp2eN5wXhQ,PAYMENT,79900,0,0,79900,2026-06-08T11:30:00,INR,
dtl_sg2oT1x3JHLiik,setl_qlN8iDz6bbMVoh,,REFUND,-102,0,0,-102,2026-06-29T11:30:00,INR,
dtl_ZlRbyNDS3yrbyR,setl_mTAfJZIU3cHYvn,evt_X6H8UBHwUwWrFY,PAYMENT,6300,126,23,6151,2026-06-22T11:30:00,INR,
dtl_091W3MjdHmQsNh,setl_xp5hnQJl84MW71,evt_Lh3Nvl1nL0PIoz,PAYMENT,2499900,0,0,2499900,2026-06-20T11:30:00,INR,
dtl_cZS1je4pJcZWlV,setl_reoGyPWObglP3y,evt_YA9OQZyCQHqKlR,PAYMENT,116300,0,0,116300,2026-06-05T11:30:00,INR,
dtl_fFlvpQUVTT1paQ,setl_k2hRqh2UNJUqIh,evt_7FAVGO73QGxrqN,PAYMENT,203200,4064,732,198404,2026-07-13T11:30:00,INR,
dtl_sRZ2K0ELpR9ZCs,setl_cwPfOTmqGFuzNd,evt_f1pGi5NRH6AP0y,PAYMENT,1999900,39998,7200,1952702,2026-06-08T11:30:00,INR,
dtl_neOzP5FYqbyHYu,setl_0dEkswc7Pi5bKi,evt_LTeXkMzQzj2B8K,REFUND,-25000,500,90,-25590,2026-06-13T11:30:00,INR,
dtl_2ZzaYWx417zxVl,setl_fFW4nW9wkmJ6WN,evt_WXWcema1WMQBwd,PAYMENT,38138300,0,0,38138300,2026-07-14T11:30:00,INR,
dtl_zfkya6XL3pIFdR,setl_MaLuBPkh537M0B,evt_orJTQjudf0Iwfe,PAYMENT,1499900,0,0,1499900,2026-07-11T11:30:00,INR,
dtl_eCeqRhLCiqvCxC,setl_i4vu6nVx11hxv6,evt_V6AZShMGN2m3Zr,PAYMENT,4871900,97438,17539,4756923,2026-07-02T11:30:00,INR,
dtl_dObod7hrZNjX5w,setl_8V6GyOywVEqP2O,evt_WBeBo0XRSXT5Bg,PAYMENT,399900,0,0,399900,2026-06-08T11:30:00,INR,
dtl_juJyeJyHP14R0h,setl_tL08ipimQtYobs,evt_mQ9q3xjrE7wXvi,PAYMENT,799900,15998,2880,781022,2026-07-13T11:30:00,INR,
dtl_ZhCf1b2P60odYm,setl_J3vzVN89SREgV6,evt_FlabbThtzUSSUs,PAYMENT,3504800,70096,12617,3422087,2026-06-02T11:30:00,INR,
dtl_CplwuIMuInmbNj,setl_qlN8iDz6bbMVoh,evt_GDumEIxAQcEpj9,PAYMENT,252983,0,0,252983,2026-06-29T11:30:00,INR,
dtl_WRyilCf7za0X1k,setl_p987jAinJ9ALcA,evt_00oDUemFND4ByL,PAYMENT,493753,9875,1778,482100,2026-06-05T11:30:00,INR,
dtl_ACqrVHcj0ch7hm,setl_FaB31uiMHtNH7h,evt_GpJzUX5DMivS5j,REFUND,-10000107,0,0,-10000107,2026-06-04T11:30:00,INR,
dtl_TDliexyYeqTsqw,setl_9Ffgb3h57CHAJT,evt_zW4PYygChr0oqJ,PAYMENT,73400,1468,264,71668,2026-06-23T11:30:00,INR,
dtl_yxbgZ7NNPfJNJS,setl_iYewZKMvkqajNV,evt_E2h185DLS81um0,PAYMENT,426400,7462,1343,417595,2026-07-08T11:30:00,INR,
dtl_soy93Dy7BGZ5o6,setl_7DtRYtCsbjJXh4,evt_ONPZFBRzImx4Gj,PAYMENT,3707078,74142,13346,3619590,2026-06-11T11:30:00,INR,
dtl_V6Q72BZlxaWWAV,setl_2RgtznvmCHdSRQ,evt_PjIUC0FDocxnW8,PAYMENT,399900,0,0,399900,2026-07-04T11:30:00,INR,
dtl_svyNn9aMllZyUo,setl_jiy5cz774WlTPt,evt_BU0lWtuOue4lHD,PAYMENT,69900,1398,252,68250,2026-07-15T11:30:00,INR,
dtl_9SaMXoLchFgg9Y,setl_gVgQFIq0XlQpYA,evt_W1Vg1SlFFNpaw8,PAYMENT,349900,6998,1260,341642,2026-06-24T11:30:00,INR,
dtl_0Hxxfqjhcmvdcy,setl_FaB31uiMHtNH7h,evt_MOo9EJerUfE5Qg,REFUND,-10000107,0,0,-10000107,2026-06-04T11:30:00,INR,
dtl_Dr0ON8WboH9QnI,setl_16QMQYaeHgeBH3,evt_GACuntsrFmFPIM,PAYMENT,2999900,59998,10800,2929102,2026-06-27T11:30:00,INR,
dtl_iFBbl8Ey77wv1U,setl_MSbFl71qKAyXnS,evt_6lqJHpZDV1Z4zm,PAYMENT,15700,314,57,15329,2026-07-07T11:30:00,INR,
dtl_3WDubz63IsQxu0,setl_3p2g9RLlyD0pFu,evt_CTxNvsdXi0YexA,PAYMENT,41400,0,0,41400,2026-07-03T11:30:00,INR,
dtl_ggCWU5L100ZmWO,setl_hYXx67VfJgwRtI,evt_sdxRW4mAy6je7d,PAYMENT,27100,542,98,26460,2026-06-29T11:30:00,INR,
dtl_yOIHzbm5MR5StP,setl_WHmWF6gt24KL88,evt_WUESKrMzbQI1SK,PAYMENT,29900,0,0,29900,2026-07-16T11:30:00,INR,
dtl_H1kWIBxR8Gbsss,setl_QPe7pGO0QCWg91,evt_IEcjkJ8xpatiyu,PAYMENT,24900,0,0,24900,2026-06-04T11:30:00,INR,
dtl_jU51M3lJYu8Xb6,setl_7DtRYtCsbjJXh4,evt_p6ZXfvbTReUXSs,PAYMENT,599900,0,0,599900,2026-06-11T11:30:00,INR,
dtl_kT4IKfSdJPqFDp,setl_2DxQOlqTy7Bd5y,,REFUND,-10000102,0,0,-10000102,2026-07-11T11:30:00,INR,
dtl_UDSDFAP1kIPhXD,setl_cTdfLAjtCocoSx,,REFUND,-10000105,0,0,-10000105,2026-06-15T11:30:00,INR,
dtl_mWyRX6KS45OO57,setl_MSbFl71qKAyXnS,evt_8Nv7gG7M5aGx8z,PAYMENT,276700,0,0,276700,2026-07-07T11:30:00,INR,
dtl_tbA0fwYxxL51nF,setl_enspPzy67ef9Rw,evt_j7vVKUU4vFfskE,PAYMENT,12810,224,40,12546,2026-07-11T11:30:00,INR,
dtl_Ptbd2Vg7JgS5W5,setl_reoGyPWObglP3y,evt_xfbxaBGPM3JU4G,PAYMENT,2422111,48442,8720,2364949,2026-06-05T11:30:00,INR,
dtl_pgHKT0HR5C9bfc,setl_MaLuBPkh537M0B,evt_EbRVFde14TM45a,PAYMENT,1499900,29998,5400,1464502,2026-07-11T11:30:00,INR,
dtl_Cfc0AvS1J2i7jh,setl_KQfn5Daa3UtXm4,evt_pX7jdsuoPHj3I1,PAYMENT,40000436,0,0,40000436,2026-07-06T11:30:00,INR,
dtl_y502C5BIqMvyrz,setl_ObpEJlWEprsMuG,evt_uKM6prqL3K6xFd,PAYMENT,199900,3498,630,195772,2026-06-30T11:30:00,INR,
dtl_SrFTrjRiUvdkkh,setl_J3vzVN89SREgV6,evt_vSTUL1Gu3oVyiG,PAYMENT,56900,0,0,56900,2026-06-02T11:30:00,INR,
dtl_TQhH41tJyevU5l,setl_FH87OdcPjopyc8,evt_MJteInIw9fIZym,PAYMENT,60000636,0,0,60000636,2026-06-16T11:30:00,INR,
dtl_bOE2PBI7ibOuJL,setl_AKkZMZfdmZ19qV,evt_CrcqUACK8tMTWc,PAYMENT,50000560,0,0,50000560,2026-06-20T11:30:00,INR,
dtl_IRSOy9pyJElmOW,setl_p987jAinJ9ALcA,evt_XM9EwVqdN9WZye,PAYMENT,49000,0,0,49000,2026-06-05T11:30:00,INR,
dtl_vnr6j7Qs26UvoU,setl_tL08ipimQtYobs,evt_F9RWTxOXAdXP76,PAYMENT,179900,0,0,179900,2026-07-13T11:30:00,INR,
dtl_ReZClrdd70CCcW,setl_16QMQYaeHgeBH3,evt_uFg7UGj786FrDJ,PAYMENT,168200,0,0,168200,2026-06-27T11:30:00,INR,
dtl_OjED4xu4XtJ1kP,setl_cVnNkhSkItGJm1,evt_ILAOJO4SNOvS8l,PAYMENT,100000,0,0,100000,2026-06-10T11:30:00,INR,
dtl_h8eMn0MiPiAoGV,setl_dt8GgAMgCvp0U0,evt_tIMCAXi8MJK5BL,PAYMENT,59900,1198,216,58486,2026-06-03T11:30:00,INR,
dtl_RZYtwvLRnTeDKT,setl_5TyLKvQznJwRJ2,evt_DS96IRf8Km2SPv,PAYMENT,60000660,0,0,60000660,2026-06-05T11:30:00,INR,
dtl_YXs9Ij0NgXrgIz,setl_tQF2HIalBvWWvf,evt_D5bMqK02hkSGSX,PAYMENT,89900,0,0,89900,2026-06-27T11:30:00,INR,
dtl_PcAcYqXRJB2xe1,setl_hYXx67VfJgwRtI,evt_fHISggN47ej1yc,PAYMENT,35700,714,129,34857,2026-06-29T11:30:00,INR,
dtl_pPqgw8BjZzCkj4,setl_xfEboOcL6xwYFm,evt_GRVM8SPFdvWL21,PAYMENT,49900,998,180,48722,2026-07-08T11:30:00,INR,
dtl_KL6MsUVs4rit97,setl_reoGyPWObglP3y,evt_h0hEhRA8KP20DR,PAYMENT,31650,0,0,31650,2026-06-05T11:30:00,INR,
dtl_RyC24RINRpGFqq,setl_ttSlJCiZss71HE,evt_iAshocYIVxWYU7,REFUND,-87825,1537,277,-89639,2026-07-16T11:30:00,INR,
dtl_7Pd4cwpFwTll88,setl_tL08ipimQtYobs,evt_SBgK28zTLSJ5ga,PAYMENT,1057000,0,0,1057000,2026-07-13T11:30:00,INR,
dtl_E1GmPOKnSKZ1jJ,setl_ODyxX6wgdQXs71,evt_Rt9vkTsroTkob7,PAYMENT,799900,13998,2520,783382,2026-06-15T11:30:00,INR,
dtl_4uN5KkBGPlq02R,setl_eenzgP9tNP549V,evt_wLzBRmeMmqGUxG,PAYMENT,30000333,0,0,30000333,2026-06-12T11:30:00,INR,
dtl_aZekCQWlFu1yqm,setl_i4vu6nVx11hxv6,evt_XzyVrPNPUdBApJ,PAYMENT,100000,1750,315,97935,2026-07-02T11:30:00,INR,
dtl_SW56qUbCiPKXag,setl_Ct42sR5EwNsvMT,evt_1ohxXvLxqz6Bjf,PAYMENT,1499900,0,0,1499900,2026-07-14T11:30:00,INR,
dtl_JqLvs2fTA2xl3J,setl_QPe7pGO0QCWg91,evt_JhhfBUT5aDCjNw,PAYMENT,484300,0,0,484300,2026-06-04T11:30:00,INR,
dtl_xeRvu0MR7I3vBj,setl_8V6GyOywVEqP2O,evt_97gzIo6IpxXbfV,PAYMENT,36600,1098,198,35304,2026-06-08T11:30:00,INR,
dtl_zjDPykp9yHPgl3,setl_tcmFi6AcqhZ3e1,evt_0ulzgoaKQMo9Y0,PAYMENT,100000,2000,360,97640,2026-06-11T11:30:00,INR,
dtl_rkxYLKzY0xnNkc,setl_PasupRCOIOJYfr,evt_LwkWKwWtuDgi3n,PAYMENT,29900,0,0,29900,2026-06-22T11:30:00,INR,
dtl_KPUgnXvVIN8bbI,setl_8V6GyOywVEqP2O,evt_alptM5bPrB0i1k,PAYMENT,249900,4998,900,244002,2026-06-08T11:30:00,INR,
dtl_339tWN16L0G8kt,setl_tQF2HIalBvWWvf,evt_QahTjjiC3K4uhh,PAYMENT,44900,898,162,43840,2026-06-27T11:30:00,INR,
dtl_9AyqQD9IsOEVad,setl_tQF2HIalBvWWvf,evt_xPUWYfzYtQxYOi,PAYMENT,34900,0,0,34900,2026-06-27T11:30:00,INR,
dtl_s8HHwpLwSPWTVc,setl_J3vzVN89SREgV6,,REFUND,-2500,0,0,-2500,2026-06-02T11:30:00,INR,
dtl_r3XEV1tzvoECqS,setl_7DtRYtCsbjJXh4,evt_5Qn34F7dT0RyyK,PAYMENT,26700,0,0,26700,2026-06-11T11:30:00,INR,
dtl_P9u9ZvZElzxgUq,setl_PdsT1wZJ2jKAsS,,REFUND,-10000108,0,0,-10000108,2026-06-22T11:30:00,INR,
dtl_vmQmyWIkiYjNOR,setl_dt8GgAMgCvp0U0,evt_Q2q47m9E3USLUT,PAYMENT,59900,1198,216,58486,2026-06-03T11:30:00,INR,
dtl_9w7voKYJLtgXIW,setl_ZwH6Qwxq4NXAx7,evt_qL8xDxToWpTLVo,PAYMENT,75100,0,0,75100,2026-06-25T11:30:00,INR,
dtl_dmb7Tic8spMrjm,setl_MnQGhaB1NW15n8,evt_W8jZ3cxbNING8E,PAYMENT,119900,0,0,119900,2026-07-13T11:30:00,INR,
dtl_86TihuzIzsJNtj,setl_OGWEdCX3fBY2jp,evt_w6VgXNoRgNzyaw,PAYMENT,3834500,0,0,3834500,2026-07-02T11:30:00,INR,
dtl_XedYNb2ChDPOiQ,setl_gtrQfu7mwXyrWv,evt_5gi3KpSm7mDVG1,PAYMENT,89900,0,0,89900,2026-06-13T11:30:00,INR,
dtl_rt3ZiRcR1z20Wt,setl_ur4XUwNlgLaNFj,evt_CSEY8qphaqFbrk,PAYMENT,449467,0,1,449466,2026-07-02T11:30:00,INR,
dtl_tUrqGa3F9Ml8So,setl_IgiA7CPCBTaB9a,evt_bHoi0bZyZWN8Ir,PAYMENT,39179602,1175388,211570,37792644,2026-06-30T11:30:00,INR,
dtl_fHclpajyRV5tR7,setl_MnQGhaB1NW15n8,evt_dapPvNbBlGhPWq,PAYMENT,4372900,87458,15742,4269700,2026-07-13T11:30:00,INR,
dtl_NvmH2BvqrFcscv,setl_reoGyPWObglP3y,evt_AxOwOIBSOUAjWy,PAYMENT,299900,0,0,299900,2026-06-05T11:30:00,INR,
dtl_PziiREPuvaHhwy,setl_xp5hnQJl84MW71,evt_eG8LHADAqIyqoi,PAYMENT,1652200,0,0,1652200,2026-06-20T11:30:00,INR,
dtl_3dkjWKqYJ33C7u,setl_SuqvHiJ6iSUDhZ,evt_vKgfkjV0nWtTb8,PAYMENT,60000648,0,0,60000648,2026-06-22T11:30:00,INR,
dtl_51ywBIUSEllJtx,setl_vx7RPwBPSqX4dw,evt_Cn5e9pKfbkB3Wg,PAYMENT,18019,360,65,17594,2026-06-03T11:30:00,INR,
dtl_ji9vIJIF1ofzg5,setl_enspPzy67ef9Rw,evt_XeFtcIYpqbVbRN,PAYMENT,35192700,0,0,35192700,2026-07-11T11:30:00,INR,
dtl_iFBbl8Ey77wv1U,setl_MSbFl71qKAyXnS,evt_6lqJHpZDV1Z4zm,PAYMENT,15700,314,57,15329,2026-07-07T11:30:00,INR,
dtl_HarE0Qa8x7xoPS,setl_3p2g9RLlyD0pFu,evt_vR7fXqkYpR4IgH,PAYMENT,468100,9362,1685,457053,2026-07-03T11:30:00,INR,
dtl_UuHODiDiknvpK0,setl_fwXNaO8WhQwTWU,evt_1TQ0swNHvzxHrB,PAYMENT,34900,0,0,34900,2026-06-20T11:30:00,INR,
dtl_ToCdr27tw5cCZG,setl_NI9P948kfKP4Kt,evt_QYfbLBa92kI3Oo,PAYMENT,199010,0,0,199010,2026-06-13T11:30:00,INR,
dtl_QRzTlNWUbzSWcs,setl_k2hRqh2UNJUqIh,evt_96EpueZCvJRbkJ,PAYMENT,4558995,0,0,4558995,2026-07-13T11:30:00,INR,
dtl_pBbdZRiQ1THklA,setl_reoGyPWObglP3y,evt_vM883DGSsmXJS1,PAYMENT,29900,598,108,29194,2026-06-05T11:30:00,INR,
dtl_OgwLqSZCp6a1gN,setl_WTlV0DJVO1SUfH,evt_l2FEE2RmatTiJW,PAYMENT,499900,0,0,499900,2026-07-11T11:30:00,INR,
dtl_uRTz90Tw9msI5s,setl_VKZlZZeGbcedNw,evt_GbrglPNM4s106H,REFUND,-10000103,0,0,-10000103,2026-06-03T11:30:00,INR,
dtl_896085JvYLm4xv,setl_k2hRqh2UNJUqIh,evt_T6OKoMpNlbTZUS,PAYMENT,89900,1798,324,87778,2026-07-13T11:30:00,INR,
dtl_5VBqO4m0vy3jAe,setl_dIwWvyo70SbrBV,evt_sXAaTSSkHbZ1a7,PAYMENT,34900,611,110,34179,2026-07-16T11:30:00,INR,
dtl_e9tgpPUQxXQHoB,setl_wdOwlMBSjR4bBJ,evt_wf40qEKRTzjmnE,PAYMENT,3991400,0,1,3991399,2026-06-25T11:30:00,INR,
dtl_2gMPDwax7S2QBj,setl_jyLYgWfkIDczr5,evt_3mj76kgMcAjNLP,PAYMENT,59900,1198,216,58486,2026-06-26T11:30:00,INR,
dtl_gNzYwXjrIODemY,setl_GIgH3vpoIVlbEn,evt_oUHjFH7kRDkaE3,PAYMENT,251993,5040,907,246046,2026-06-22T11:30:00,INR,
dtl_AO6vY6I30MA5N1,setl_KeVsabj5yizFNZ,evt_v36xtqxbU4nJrd,PAYMENT,50000505,0,0,50000505,2026-07-14T11:30:00,INR,
dtl_epsOEZxrEqMX5R,setl_QPe7pGO0QCWg91,,REFUND,-108,0,0,-108,2026-06-04T11:30:00,INR,
dtl_JM4KvFkZvrjr6X,setl_iYewZKMvkqajNV,evt_0tm7AqJk8SIsSD,PAYMENT,179900,0,0,179900,2026-07-08T11:30:00,INR,
dtl_LIH9eyZ1JGKLUQ,setl_iKNp2w2kWJvRCw,evt_Rg6GZ7khOpqHpM,PAYMENT,349900,6998,1260,341642,2026-06-20T11:30:00,INR,
dtl_G3oh5TYKGdHWzy,setl_8gX8T9qT4ai9Lx,evt_bo45ctCaIV0HRw,PAYMENT,30000339,0,0,30000339,2026-06-05T11:30:00,INR,
dtl_JKUSfmidJm0EhM,setl_EgId4RDr0w1ykW,,REFUND,-10000100,0,0,-10000100,2026-07-06T11:30:00,INR,
dtl_60grJhmpE246WG,setl_BLc32UGfQ6c06R,evt_50h6VD45NRCGAc,PAYMENT,50000525,0,0,50000525,2026-06-15T11:30:00,INR,
