bank_row_id,utr,posted_at,credit_amount_paise,currency,narration,bank_ref
bank_Kts9sH8BYkQ6jT,ICICN26335295565,2026-07-09T14:30:00,30000300,INR,NEFT CR: ICICI ICICN26335295565 RAZORPAY SETTLEMENT,S0618624377
bank_APU63yqSuDJ2Fl,HDFCN95244056471,2026-06-23T14:30:00,26582070,INR,NEFT CR: AXIS HDFCN95244056471 RAZORPAY SETTLEMENT,S6545259222
bank_neGaFYMZyXk57b,YESBN43466780088,2026-06-05T14:30:00,100000,INR,NEFT CR: ICICI YESBN43466780088 RAZORPAY SETTLEMENT,S7351758028
bank_C9K2LVRG9r9MZr,YESBN84971029670,2026-06-30T14:30:00,397871,INR,NEFT CR: AXIS YESBN84971029670 RAZORPAY SETTLEMENT,S5519511407
bank_ZMQfUOxHGg2mtY,ICICN07883430727,2026-06-05T14:30:00,286414,INR,NEFT CR: KOTAK ICICN07883430727 RAZORPAY SETTLEMENT,S8610981066
bank_UQSlACqihO6jJr,UTIBN99399165320,2026-07-01T14:30:00,22895764,INR,NEFT CR: AXIS UTIBN99399165320 RAZORPAY SETTLEMENT,S0117343945
bank_34LqYsrem6nYJ5,KKBKN59020404686,2026-06-18T14:30:00,2299868,INR,NEFT CR: HDFC KKBKN59020404686 RAZORPAY SETTLEMENT,S2280888358
bank_9GBhWkzoG2sLaE,UTIBN43108588139,2026-07-13T14:30:00,30000336,INR,NEFT CR: HDFC UTIBN43108588139 RAZORPAY SETTLEMENT,S8976785013
bank_zjdHwsA29Ffgb3,ICICN46303029669,2026-06-18T14:30:00,12533565,INR,NEFT CR: YESBANK ICICN46303029669 RAZORPAY SETTLEMENT,S1786863578
bank_SGBJk3gQBwE2hS,HDFCN11946617094,2026-07-01T14:30:00,10791383,INR,NEFT CR: YESBANK HDFCN11946617094 RAZORPAY SETTLEMENT,S3827245656
bank_npngzV2re0Pg8J,ICICN71935725663,2026-06-20T14:30:00,1491153,INR,NEFT CR: ICICI ICICN71935725663 RAZORPAY SETTLEMENT,S7693646352
bank_L2Zvv3pSSvUzxk,UTIBN19851289585,2026-06-08T14:30:00,650053,INR,NEFT CR: AXIS UTIBN19851289585 RAZORPAY SETTLEMENT,S4979299903
bank_fSdJPqFDp14gh7,KKBKN12017829528,2026-06-16T14:30:00,1014382,INR,NEFT CR: YESBANK KKBKN12017829528 RAZORPAY SETTLEMENT,S0122377499
bank_4363BPHwPBowSn,HDFCN71228258794,2026-07-10T14:30:00,507336,INR,NEFT CR: KOTAK HDFCN71228258794 RAZORPAY SETTLEMENT,S6120343551
bank_k9xeuTJFi7WRcU,YESBN50781445194,2026-06-22T14:30:00,195182,INR,NEFT CR: ICICI YESBN50781445194 RAZORPAY SETTLEMENT,S2968218990
bank_9x8JYAHp7qlN8i,KKBKN54131329905,2026-07-10T14:30:00,40000416,INR,NEFT CR: HDFC KKBKN54131329905 RAZORPAY SETTLEMENT,S7600931732
bank_YLm4xvYixq6j0V,UTIBN11150439678,2026-06-04T14:30:00,4639683,INR,NEFT CR: AXIS UTIBN11150439678 RAZORPAY SETTLEMENT,S7403776716
bank_nytn5gHmvaKbaS,HDFCN16569807081,2026-07-10T14:30:00,1884996,INR,NEFT CR: KOTAK HDFCN16569807081 RAZORPAY SETTLEMENT,S7871312000
bank_XWPQEChit5Dpgi,UTIBN30216227974,2026-06-29T14:30:00,5053916,INR,NEFT CR: HDFC UTIBN30216227974 RAZORPAY SETTLEMENT,S3767526583
bank_5Jk93wfjRtOxxf,ICICN68682447714,2026-06-08T14:30:00,100000,INR,NEFT CR: AXIS ICICN68682447714 RAZORPAY SETTLEMENT,S5261309938
bank_C1MqJhe8NK5yst,YESBN71912287147,2026-06-24T14:30:00,100000,INR,NEFT CR: ICICI YESBN71912287147 RAZORPAY SETTLEMENT,S9015395213
bank_YuGG4caMZozTZE,HDFCN20923167406,2026-07-09T14:30:00,3232196,INR,NEFT CR: YESBANK HDFCN20923167406 RAZORPAY SETTLEMENT,S4434340156
bank_KV1KNq1TQ0swNH,ICICN95067853519,2026-06-08T14:30:00,296715,INR,NEFT CR: HDFC ICICN95067853519 RAZORPAY SETTLEMENT,S5658463297
bank_HboEWvhVKyBhuy,UTIBN81588623544,2026-07-10T14:30:00,20489714,INR,NEFT CR: KOTAK UTIBN81588623544 RAZORPAY SETTLEMENT,S2106740279
bank_5KqzLDS8aiKFVT,UTIBN16966625476,2026-07-13T14:30:00,9309149,INR,NEFT CR: HDFC UTIBN16966625476 RAZORPAY SETTLEMENT,S7408519434
bank_pF9EzdTAJYxGEh,YESBN15491563505,2026-06-20T14:30:00,1611383,INR,NEFT CR: AXIS YESBN15491563505 RAZORPAY SETTLEMENT,S3062261037
bank_Bfz3wbHEET9Wsy,UTIBN30216227974,2026-06-29T14:30:00,5053916,INR,NEFT CR: HDFC UTIBN30216227974 RAZORPAY SETTLEMENT,S2682130028
bank_6lx5mN4F253RYi,UTIBN96309064673,2026-06-27T14:30:00,918398,INR,NEFT CR: KOTAK UTIBN96309064673 RAZORPAY SETTLEMENT,S7225968826
bank_lbR0p1pnapIiCa,YESBN53233885280,2026-06-12T14:30:00,20000204,INR,NEFT CR: KOTAK YESBN53233885280 RAZORPAY SETTLEMENT,S7587551552
bank_3jXLkTRUdp4992,KKBKN48041299485,2026-06-12T14:30:00,60000612,INR,NEFT CR: ICICI KKBKN48041299485 RAZORPAY SETTLEMENT,S6510687387
bank_cGjKnwHOPGMXWg,ICICN02817794364,2026-07-10T14:30:00,100000,INR,NEFT CR: AXIS ICICN02817794364 RAZORPAY SETTLEMENT,S2691128706
bank_XiXCVeygNWEgId,YESBN10747594257,2026-07-09T14:30:00,20000200,INR,NEFT CR: ICICI YESBN10747594257 RAZORPAY SETTLEMENT,S7456218388
bank_Uj29cEsNYGlOwO,UTIBN58570891456,2026-07-10T14:30:00,169100,INR,NEFT CR: ICICI UTIBN58570891456 RAZORPAY SETTLEMENT,S4078295633
bank_4WXgyRPAZaeiJ4,YESBN38565789813,2026-06-24T14:30:00,866700,INR,NEFT CR: ICICI YESBN38565789813 RAZORPAY SETTLEMENT,S5445846384
bank_IAPBTS41AMHNHc,YESBN06064405622,2026-06-03T14:30:00,3357703,INR,NEFT CR: HDFC YESBN06064405622 RAZORPAY SETTLEMENT,S6714389571
bank_t97NvmH2BvqrFc,ICICN13802999444,2026-06-04T14:30:00,4109700,INR,NEFT CR: ICICI ICICN13802999444 RAZORPAY SETTLEMENT,S4056358355
bank_UgjHfC0gkhrtVE,ICICN45088022073,2026-06-15T14:30:00,3495181,INR,NEFT CR: AXIS ICICN45088022073 RAZORPAY SETTLEMENT,S7187352908
bank_byiZXW5AiQvsIB,YESBN91435421604,2026-06-09T14:30:00,2464458,INR,NEFT CR: KOTAK YESBN91435421604 RAZORPAY SETTLEMENT,S3339907245
bank_bmnZCHpDSVEBLt,KKBKN82009509715,2026-06-17T14:30:00,6864325,INR,NEFT CR: YESBANK KKBKN82009509715 RAZORPAY SETTLEMENT,S1980251698
bank_A0kxzoX5SkVEAK,HDFCN25434274892,2026-06-03T14:30:00,12769783,INR,NEFT CR: AXIS HDFCN25434274892 RAZORPAY SETTLEMENT,S1233838679
bank_e9uJChAZisZFDH,UTIBN00513647508,2026-07-08T14:30:00,7752060,INR,NEFT CR: YESBANK UTIBN00513647508 RAZORPAY SETTLEMENT,S7614415356
bank_1wfwnN12Vv1XD5,KKBKN15513903899,2026-07-01T14:30:00,38637339,INR,NEFT CR: YESBANK KKBKN15513903899 RAZORPAY SETTLEMENT,S2077433185
bank_9Dyr0qnUIZ3tOt,YESBN27092295206,2026-06-30T14:30:00,20413619,INR,NEFT CR: KOTAK YESBN27092295206 RAZORPAY SETTLEMENT,S2352626509
bank_gs1NQY920BV0TG,UTIBN97935607231,2026-07-10T14:30:00,1713175,INR,NEFT CR: AXIS UTIBN97935607231 RAZORPAY SETTLEMENT,S4438733575
bank_hgGsiv0ZuVUzIq,KKBKN98000406957,2026-06-08T14:30:00,3260966,INR,NEFT CR: HDFC KKBKN98000406957 RAZORPAY SETTLEMENT,S2573765454
bank_qGMm8WIEmAdAOe,ICICN77554824547,2026-06-30T14:30:00,30173975,INR,NEFT CR: YESBANK ICICN77554824547 RAZORPAY SETTLEMENT,S7105756340
bank_70yuwMWJGugtjN,KKBKN74158573764,2026-06-09T14:30:00,100000,INR,NEFT CR: KOTAK KKBKN74158573764 RAZORPAY SETTLEMENT,S7231482697
bank_RvBx9oY15W8Dmr,ICICN08531909796,2026-06-13T14:30:00,26041135,INR,NEFT CR: ICICI ICICN08531909796 RAZORPAY SETTLEMENT,S5739890155
bank_rBHQfwTUQYBB4R,ICICN17610016347,2026-06-19T14:30:00,100000,INR,NEFT CR: YESBANK ICICN17610016347 RAZORPAY SETTLEMENT,S0457005294
bank_nvwMFWDkzNdso8,YESBN84971029670,2026-06-30T14:30:00,397871,INR,NEFT CR: YESBANK YESBN84971029670 RAZORPAY SETTLEMENT,S4798405093
bank_TUHzf7Thae6goE,ICICN64529867578,2026-06-29T14:30:00,1970985,INR,NEFT CR: YESBANK ICICN64529867578 RAZORPAY SETTLEMENT,S3530030347
bank_2XH4X7EFyu00WR,ICICN76576599827,2026-06-19T14:30:00,100000,INR,NEFT CR: KOTAK ICICN76576599827 RAZORPAY SETTLEMENT,S4705248297
bank_TL7QK1Um3nCGDT,UTIBN13611329328,2026-06-02T14:30:00,355912,INR,NEFT CR: AXIS UTIBN13611329328 RAZORPAY SETTLEMENT,S3460606119
bank_qjtRX9yVgsiQyH,YESBN40809365909,2026-06-04T14:30:00,100000,INR,NEFT CR: HDFC YESBN40809365909 RAZORPAY SETTLEMENT,S6574052870
bank_6hj1wiaLwkWKwW,UTIBN13132931696,2026-06-12T14:30:00,11471289,INR,NEFT CR: ICICI UTIBN13132931696 RAZORPAY SETTLEMENT,S4571236065
bank_wWvutJo5EOeT9I,KKBKN50314191447,2026-06-16T14:30:00,9250416,INR,NEFT CR: AXIS KKBKN50314191447 RAZORPAY SETTLEMENT,S8055049486
bank_7l1eDN08PBqGpf,UTIBN02964189403,2026-06-18T14:30:00,650474,INR,NEFT CR: HDFC UTIBN02964189403 RAZORPAY SETTLEMENT,S2161176607
bank_NIre5E2h185DLS,KKBKN84619953820,2026-06-02T14:30:00,416877,INR,NEFT CR: KOTAK KKBKN84619953820 RAZORPAY SETTLEMENT,S5382134290
bank_OMlfZcwWwyclwd,HDFCN80878378513,2026-07-06T14:30:00,5234099,INR,NEFT CR: YESBANK HDFCN80878378513 RAZORPAY SETTLEMENT,S7427311609
bank_5HBnNaMhPaqLzD,UTIBN20987247384,2026-07-06T14:30:00,2002431,INR,NEFT CR: YESBANK UTIBN20987247384 RAZORPAY SETTLEMENT,S5871876369
bank_BPe7k9DcLCE7bO,UTIBN88685525297,2026-06-12T14:30:00,10880907,INR,NEFT CR: ICICI UTIBN88685525297 RAZORPAY SETTLEMENT,S0624551287
bank_5tFdjLi0w22P1I,UTIBN01862071370,2026-07-01T14:30:00,2043019,INR,NEFT CR: HDFC UTIBN01862071370 RAZORPAY SETTLEMENT,S8010458296
bank_dq60eENv6nAma8,ICICN70858034288,2026-06-15T14:30:00,100000,INR,NEFT CR: YESBANK ICICN70858034288 RAZORPAY SETTLEMENT,S6790838551
bank_MhnrZeotedGZsO,KKBKN33410528600,2026-06-19T14:30:00,100000,INR,NEFT CR: HDFC KKBKN33410528600 RAZORPAY SETTLEMENT,S6854805225
bank_miXKGxbB3U5DBs,ICICN97213532890,2026-07-14T14:30:00,4201718,INR,NEFT CR: YESBANK ICICN97213532890 RAZORPAY SETTLEMENT,S2788298006
bank_IirEQ400eCeqRh,ICICN72756433355,2026-07-07T14:30:00,40000436,INR,NEFT CR: AXIS ICICN72756433355 RAZORPAY SETTLEMENT,S9724575788
bank_Ogvk85UOZz128c,YESBN06820256470,2026-06-03T14:30:00,4034484,INR,NEFT CR: ICICI YESBN06820256470 RAZORPAY SETTLEMENT,S3521771085
bank_AQcEpj9e1NufXS,HDFCN87026875378,2026-07-10T14:30:00,20418914,INR,NEFT CR: AXIS HDFCN87026875378 RAZORPAY SETTLEMENT,S3363407174
bank_SklSzfuOcczEm5,ICICN22025993181,2026-07-13T14:30:00,24077280,INR,NEFT CR: HDFC ICICN22025993181 RAZORPAY SETTLEMENT,S0434919686
bank_mOxeUs5eem7X4O,UTIBN18211942676,2026-07-07T14:30:00,3863090,INR,NEFT CR: HDFC UTIBN18211942676 RAZORPAY SETTLEMENT,S1855335209
bank_7kP9hM9COtj2ju,YESBN19478195718,2026-06-18T14:30:00,100000,INR,NEFT CR: KOTAK YESBN19478195718 RAZORPAY SETTLEMENT,S7635242884
bank_sQwd5jv0uxKvv3,ICICN71499607063,2026-07-15T14:30:00,446426,INR,NEFT CR: HDFC ICICN71499607063 RAZORPAY SETTLEMENT,S2513887949
bank_kCwC8XB17mp4g7,KKBKN41079096288,2026-06-22T14:30:00,2950924,INR,NEFT CR: AXIS KKBKN41079096288 RAZORPAY SETTLEMENT,S1668865567
bank_AFhphBaxeRvu0M,UTIBN67849025727,2026-07-01T14:30:00,30000309,INR,NEFT CR: YESBANK UTIBN67849025727 RAZORPAY SETTLEMENT,S8562900587
bank_C4MW8bsDMu8vRV,KKBKN37015622518,2026-06-29T14:30:00,18367440,INR,NEFT CR: KOTAK KKBKN37015622518 RAZORPAY SETTLEMENT,S5418314395
bank_aumvuCMnuArnKP,HDFCN76198233554,2026-06-06T14:30:00,1212277,INR,NEFT CR: YESBANK HDFCN76198233554 RAZORPAY SETTLEMENT,S7439157059
bank_rQ4G6HG031d4wE,UTIBN24468754850,2026-07-06T14:30:00,20600122,INR,NEFT CR: YESBANK UTIBN24468754850 RAZORPAY SETTLEMENT,S0705414204
bank_6VtAM0R97dIfN2,KKBKN95691203560,2026-07-01T14:30:00,100000,INR,NEFT CR: KOTAK KKBKN95691203560 RAZORPAY SETTLEMENT,S3955609699
bank_M03Y3L6TVXnz8P,KKBKN69646917099,2026-06-08T14:30:00,100000,INR,NEFT CR: YESBANK KKBKN69646917099 RAZORPAY SETTLEMENT,S4572093772
bank_yueeEK7QAm2LDD,YESBN94139582984,2026-06-22T14:30:00,96460,INR,NEFT CR: AXIS YESBN94139582984 RAZORPAY SETTLEMENT,S6183918919
bank_9o4ilFzicrYoGg,HDFCN24635322769,2026-06-30T14:30:00,30000318,INR,NEFT CR: ICICI HDFCN24635322769 RAZORPAY SETTLEMENT,S9667085605
bank_IwnD9aIHD7qehD,ICICN98550836304,2026-07-13T14:30:00,20039282,INR,NEFT CR: AXIS ICICN98550836304 RAZORPAY SETTLEMENT,S3696099817
bank_mdz4uQK75Du62v,ICICN81866493530,2026-06-19T14:30:00,35015104,INR,NEFT CR: ICICI ICICN81866493530 RAZORPAY SETTLEMENT,S6755632671
bank_3o6ujHgqeNs8wy,UTIBN59004756743,2026-06-24T14:30:00,2699916,INR,NEFT CR: AXIS UTIBN59004756743 RAZORPAY SETTLEMENT,S2492359035
bank_dmMBcamHm7Hxs1,ICICN05579407769,2026-07-15T14:30:00,100000,INR,NEFT CR: AXIS ICICN05579407769 RAZORPAY SETTLEMENT,S6961616919
bank_gbnSdDTI1HyXCf,UTIBN56399654161,2026-06-08T14:30:00,1926133,INR,NEFT CR: ICICI UTIBN56399654161 RAZORPAY SETTLEMENT,S7849872059
bank_UrTc7Em7sbozZT,YESBN83830902081,2026-06-22T14:30:00,1121088,INR,NEFT CR: ICICI YESBN83830902081 RAZORPAY SETTLEMENT,S2853767537
bank_w5wWMgQV3osRMC,YESBN39824507520,2026-07-03T14:30:00,336117,INR,NEFT CR: KOTAK YESBN39824507520 RAZORPAY SETTLEMENT,S6905796728
bank_khFiEvxGGIxlbh,ICICN67398372017,2026-06-16T14:30:00,1734602,INR,NEFT CR: HDFC ICICN67398372017 RAZORPAY SETTLEMENT,S9786463689
bank_pKNJChg8UEupgK,UTIBN66466489988,2026-07-10T14:30:00,5483848,INR,NEFT CR: KOTAK UTIBN66466489988 RAZORPAY SETTLEMENT,S6803594915
bank_iIY9OaUHnnjBnn,ICICN57073585233,2026-06-18T14:30:00,20000216,INR,NEFT CR: ICICI ICICN57073585233 RAZORPAY SETTLEMENT,S3200096218
bank_2mxoTtl7sMBZsL,UTIBN48721878777,2026-07-09T14:30:00,1697490,INR,NEFT CR: HDFC UTIBN48721878777 RAZORPAY SETTLEMENT,S5690032420
bank_pH6alptM5bPrB0,HDFCN43462768187,2026-06-20T14:30:00,1220832,INR,NEFT CR: HDFC HDFCN43462768187 RAZORPAY SETTLEMENT,S2242541120
bank_Rx2RTM4gJLvGya,ICICN02589795113,2026-06-29T14:30:00,27762768,INR,NEFT CR: YESBANK ICICN02589795113 RAZORPAY SETTLEMENT,S1499610796
